Time,mean,sd,0.025Q,0.5Q,0.975Q,mean,sd,0.025Q,0.5Q,0.975Q,case,caselow,caseup,rate,ratelow,rateup
1990,2991.106759,79.30107097,2835.679516,2991.106759,3146.534002,0.01837323,0.000352736,0.017681881,0.01837323,0.01906458,0.029911068,0.028356795,0.03146534,1837.323021,1768.188081,1906.457962
1991,3103.887689,79.83449954,2947.414945,3103.887689,3260.360433,0.018926144,0.000348664,0.018242775,0.018926144,0.019609514,0.031038877,0.029474149,0.032603604,1892.614444,1824.277506,1960.951382
1992,3202.243706,80.81036689,3043.858297,3202.243706,3360.629115,0.019350074,0.000348598,0.018666835,0.019350074,0.020033313,0.032022437,0.030438583,0.033606291,1935.007376,1866.683472,2003.331279
1993,3292.42242,82.13263377,3131.445416,3292.42242,3453.399424,0.019701302,0.000351641,0.019012098,0.019701302,0.020390505,0.032924224,0.031314454,0.034533994,1970.13016,1901.209794,2039.050527
1994,3373.939796,83.53614671,3210.211957,3373.939796,3537.667635,0.020000947,0.000355899,0.019303398,0.020000947,0.020698496,0.033739398,0.03210212,0.035376676,2000.094728,1930.339834,2069.849622
1995,3450.38924,84.91217629,3283.964432,3450.38924,3616.814047,0.02029044,0.000360578,0.01958372,0.02029044,0.02099716,0.034503892,0.032839644,0.03616814,2029.043952,1958.371951,2099.715952
1996,3460.038831,85.10219805,3293.241588,3460.038831,3626.836074,0.02021464,0.000359307,0.019510411,0.02021464,0.020918869,0.034600388,0.032932416,0.036268361,2021.463986,1951.041117,2091.886854
1997,3406.927687,84.97905986,3240.371791,3406.927687,3573.483584,0.019800236,0.000358944,0.019096719,0.019800236,0.020503754,0.034069277,0.032403718,0.035734836,1980.023647,1909.671865,2050.375428
1998,3329.537221,84.77404591,3163.383145,3329.537221,3495.691298,0.019263807,0.000359326,0.018559541,0.019263807,0.019968074,0.033295372,0.031633831,0.034956913,1926.380748,1855.954121,1996.807375
1999,3283.126544,84.99290517,3116.543511,3283.126544,3449.709577,0.018911366,0.000361593,0.018202656,0.018911366,0.019620075,0.032831265,0.031165435,0.034497096,1891.136565,1820.265615,1962.007514
