Time,mean,sd,0.025Q,0.5Q,0.975Q,mean,sd,0.025Q,0.5Q,0.975Q,case,caselow,caseup,rate,ratelow,rateup
1990,5662.536744,106.2711379,5454.249141,5662.536744,5870.824346,0.007674748,0.000101706,0.007475408,0.007674748,0.007874088,0.056625367,0.054542491,0.058708243,767.4748302,747.5408208,787.4088395
1991,5817.600259,102.0708195,5617.545129,5817.600259,6017.655389,0.007659514,8.93E-05,0.007484479,0.007659514,0.007834549,0.058176003,0.056175451,0.060176554,765.9514301,748.4479432,783.454917
1992,5985.571718,102.1752054,5785.311995,5985.571718,6185.831441,0.007642417,8.52E-05,0.007475401,0.007642417,0.007809433,0.059855717,0.05785312,0.061858314,764.2417197,747.5401191,780.9433203
1993,6169.13159,103.5294094,5966.217676,6169.13159,6372.045504,0.007645785,8.36E-05,0.007481947,0.007645785,0.007809623,0.061691316,0.059662177,0.063720455,764.5784981,748.1947226,780.9622735
1994,6366.466134,105.2442013,6160.19129,6366.466134,6572.740978,0.007690566,8.29E-05,0.007528082,0.007690566,0.007853051,0.063664661,0.061601913,0.06572741,769.0566318,752.8081531,785.3051105
1995,6557.724749,106.8621703,6348.278744,6557.724749,6767.170754,0.007766752,8.26E-05,0.007604894,0.007766752,0.007928609,0.065577247,0.063482787,0.067671708,776.6751683,760.4894189,792.8609178
1996,6783.069767,108.8288727,6569.769096,6783.069767,6996.370438,0.007930094,8.32E-05,0.007767089,0.007930094,0.0080931,0.067830698,0.065697691,0.069963704,793.0094495,776.7088535,809.3100454
1997,7041.859252,111.0676763,6824.170607,7041.859252,7259.547897,0.008170442,8.44E-05,0.008004978,0.008170442,0.008335907,0.070418593,0.068241706,0.072595479,817.044247,800.4977812,833.5907129
1998,7332.282738,113.6515771,7109.52974,7332.282738,7555.035736,0.008461729,8.62E-05,0.008292702,0.008461729,0.008630756,0.073322827,0.071095297,0.075550357,846.172893,829.270189,863.0755971
1999,7654.396454,116.6080772,7425.848822,7654.396454,7882.944085,0.008766537,8.83E-05,0.008593488,0.008766537,0.008939586,0.076543965,0.074258488,0.078829441,876.6536852,859.3487574,893.958613
