Time,mean,sd,0.025Q,0.5Q,0.975Q,mean,sd,0.025Q,0.5Q,0.975Q,case,caselow,caseup,rate,ratelow,rateup
1990,1467.001883,52.05201588,1364.981807,1467.001883,1569.021959,0.020264136,0.000486889,0.019309851,0.020264136,0.021218421,0.014670019,0.013649818,0.01569022,2026.41363,1930.985136,2121.842124
1991,1689.970245,50.47345862,1591.044084,1689.970245,1788.896406,0.022932886,0.000397395,0.022154007,0.022932886,0.023711765,0.016899702,0.015910441,0.017888964,2293.288613,2215.400698,2371.176528
1992,1937.115398,54.09457295,1831.091983,1937.115398,2043.138812,0.025908695,0.000420641,0.025084253,0.025908695,0.026733137,0.019371154,0.01831092,0.020431388,2590.869498,2508.425344,2673.313652
1993,2207.837078,57.97879742,2094.200723,2207.837078,2321.473433,0.029161378,0.00044863,0.028282079,0.029161378,0.030040676,0.022078371,0.020942007,0.023214734,2916.137785,2828.207945,3004.067625
1994,2500.69417,61.95830736,2379.258119,2500.69417,2622.130221,0.032617183,0.000477129,0.031682026,0.032617183,0.033552339,0.025006942,0.023792581,0.026221302,3261.718278,3168.202616,3355.233941
1995,2820.457571,66.15134697,2690.803314,2820.457571,2950.111829,0.036291852,0.000507494,0.035297183,0.036291852,0.037286521,0.028204576,0.026908033,0.029501118,3629.185202,3529.718279,3728.652124
1996,3191.614104,70.74991824,3052.946813,3191.614104,3330.281396,0.040449332,0.000539774,0.039391394,0.040449332,0.04150727,0.031916141,0.030529468,0.033302814,4044.933215,3939.139432,4150.726999
1997,3622.301521,75.766187,3473.802523,3622.301521,3770.800518,0.045172613,0.000573952,0.044047688,0.045172613,0.046297538,0.036223015,0.034738025,0.037708005,4517.261337,4404.768833,4629.75384
1998,4085.402991,80.90972814,3926.822837,4085.402991,4243.983144,0.050091996,0.000608258,0.048899833,0.050091996,0.051284159,0.04085403,0.039268228,0.042439831,5009.199576,4889.983269,5128.415884
1999,4533.700791,85.67435086,4365.782149,4533.700791,4701.619433,0.05464331,0.000638496,0.05339188,0.05464331,0.05589474,0.045337008,0.043657821,0.047016194,5464.331004,5339.188014,5589.473994
2000,4930.778531,89.66831718,4755.031859,4930.778531,5106.525203,0.058418086,0.000660672,0.057123192,0.058418086,0.05971298,0.049307785,0.047550319,0.051065252,5841.808579,5712.319192,5971.297966
2001,5293.452856,93.11225222,5110.956196,5293.452856,5475.949517,0.061663632,0.000676892,0.060336948,0.061663632,0.062990317,0.052934529,0.051109562,0.054759495,6166.363236,6033.69481,6299.031662
2002,5654.688508,96.38040002,5465.786395,5654.688508,5843.590621,0.064767129,0.000690507,0.063413761,0.064767129,0.066120497,0.056546885,0.054657864,0.058435906,6476.712911,6341.37609,6612.049732
2003,5998.597399,99.45692054,5803.665417,5998.597399,6193.529381,0.067521357,0.000702325,0.066144826,0.067521357,0.068897889,0.059985974,0.058036654,0.061935294,6752.135748,6614.482553,6889.788944
2004,6280.773602,101.9861719,6080.884378,6280.773602,6480.662826,0.069402347,0.000709302,0.068012141,0.069402347,0.070792553,0.062807736,0.060808844,0.064806628,6940.234704,6801.214123,7079.255284
2005,6431.890501,103.3015003,6229.423281,6431.890501,6634.357721,0.069670279,0.000705272,0.068287972,0.069670279,0.071052586,0.064318905,0.062294233,0.066343577,6967.027915,6828.797198,7105.258632
2006,6373.503372,102.6413677,6172.329988,6373.503372,6574.676756,0.067558149,0.000683813,0.066217901,0.067558149,0.068898398,0.063735034,0.0617233,0.065746768,6755.814939,6621.790051,6889.839827
2007,6130.191562,100.2391725,5933.726394,6130.191562,6326.65673,0.063504901,0.000648409,0.062234043,0.063504901,0.064775758,0.061301916,0.059337264,0.063266567,6350.490062,6223.404305,6477.575819
2008,5816.88309,97.28829266,5626.20154,5816.88309,6007.564639,0.058899181,0.000611581,0.057700504,0.058899181,0.060097858,0.058168831,0.056262015,0.060075646,5889.918074,5770.050396,6009.785751
2009,5568.151944,95.02589093,5381.90462,5568.151944,5754.399268,0.055169546,0.000582958,0.054026969,0.055169546,0.056312123,0.055681519,0.053819046,0.057543993,5516.954605,5402.696925,5631.212286
2010,5508.088413,94.49200361,5322.887489,5508.088413,5693.289337,0.053512955,0.000568215,0.052399274,0.053512955,0.054626635,0.055080884,0.053228875,0.056932893,5351.295456,5239.927447,5462.663466
2011,5704.803997,96.29699097,5516.065363,5704.803997,5893.542631,0.054468936,0.000570347,0.053351076,0.054468936,0.055586796,0.05704804,0.055160654,0.058935426,5446.893586,5335.107609,5558.679563
2012,6122.259872,100.0350728,5926.194732,6122.259872,6318.325012,0.057562217,0.000586014,0.056413652,0.057562217,0.058710783,0.061222599,0.059261947,0.06318325,5756.221732,5641.365196,5871.078268
2013,6677.586061,104.9391401,6471.909126,6677.586061,6883.262996,0.06189426,0.000610249,0.060698194,0.06189426,0.063090327,0.066775861,0.064719091,0.06883263,6189.42603,6069.819375,6309.032685
2014,7269.703407,110.0760637,7053.958286,7269.703407,7485.448527,0.066458568,0.000636462,0.065211126,0.066458568,0.067706011,0.072697034,0.070539583,0.074854485,6645.856826,6521.112581,6770.601072
2015,7808.502881,114.568807,7583.952146,7808.502881,8033.053617,0.070393167,0.000657381,0.069104725,0.070393167,0.07168161,0.078085029,0.075839521,0.080330536,7039.316741,6910.472526,7168.160957
2016,8304.331071,118.5059809,8072.063617,8304.331071,8536.598525,0.073797253,0.000673235,0.072477737,0.073797253,0.075116768,0.083043311,0.080720636,0.085365985,7379.72529,7247.773747,7511.676832
2017,8741.01046,122.0140211,8501.867373,8741.01046,8980.153547,0.076572762,0.000686789,0.07522668,0.076572762,0.077918844,0.087410105,0.085018674,0.089801535,7657.276164,7522.667952,7791.884377
2018,9113.219132,124.9831567,8868.256647,9113.219132,9358.181618,0.078669387,0.000696375,0.077304516,0.078669387,0.080034258,0.091132191,0.088682566,0.093581816,7866.938703,7730.451643,8003.425763
2019,9479.739692,135.3077498,9214.541375,9479.739692,9744.938008,0.080604548,0.000798924,0.079038686,0.080604548,0.08217041,0.094797397,0.092145414,0.09744938,8060.454809,7903.868642,8217.040977
2020,9861.408775,369.6339751,9136.939496,9861.408775,10585.87805,0.082559556,0.002980801,0.076717294,0.082559556,0.088401819,0.098614088,0.091369395,0.105858781,8255.955641,7671.729384,8840.181898
