Time,mean,sd,0.025Q,0.5Q,0.975Q,mean,sd,0.025Q,0.5Q,0.975Q,case,caselow,caseup,rate,ratelow,rateup
1990,1974.36573,63.73838669,1849.440787,1974.36573,2099.290672,0.013470003,0.000311765,0.012858954,0.013470003,0.014081052,0.019743657,0.018494408,0.020992907,1347.000327,1285.895444,1408.10521
1991,2027.021653,61.64856367,1906.192689,2027.021653,2147.850618,0.013449101,0.000279417,0.012901453,0.013449101,0.013996749,0.020270217,0.019061927,0.021478506,1344.910132,1290.145336,1399.674928
1992,2097.992825,62.78998606,1974.926714,2097.992825,2221.058937,0.013520086,0.000276774,0.012977619,0.013520086,0.014062553,0.020979928,0.019749267,0.022210589,1352.008574,1297.761864,1406.255285
1993,2191.190146,64.33156749,2065.102591,2191.190146,2317.277702,0.013716971,0.000276249,0.013175532,0.013716971,0.01425841,0.021911901,0.020651026,0.023172777,1371.69713,1317.553244,1425.841016
1994,2300.464914,66.1133996,2170.885032,2300.464914,2430.044796,0.014016286,0.000277241,0.013472904,0.014016286,0.014559667,0.023004649,0.02170885,0.024300448,1401.628554,1347.290413,1455.966696
1995,2436.92061,68.3299806,2302.996309,2436.92061,2570.844911,0.014491592,0.000280949,0.013940941,0.014491592,0.015042243,0.024369206,0.023029963,0.025708449,1449.159205,1394.094123,1504.224287
1996,2637.923499,71.5748129,2497.639443,2637.923499,2778.207554,0.015361683,0.000290297,0.014792711,0.015361683,0.015930654,0.026379235,0.024976394,0.027782076,1536.16826,1479.271108,1593.065413
1997,2922.886333,75.99028948,2773.948103,2922.886333,3071.824564,0.016710133,0.000305292,0.016111772,0.016710133,0.017308494,0.029228863,0.027739481,0.030718246,1671.0133,1611.177204,1730.849395
1998,3244.09444,80.74718048,3085.832874,3244.09444,3402.356005,0.018226581,0.000321577,0.017596302,0.018226581,0.018856859,0.032440944,0.030858329,0.03402356,1822.658082,1759.630216,1885.685947
1999,3543.101043,85.00912178,3376.486226,3543.101043,3709.71586,0.019547173,0.000334833,0.018890913,0.019547173,0.020203433,0.03543101,0.033764862,0.037097159,1954.717306,1889.091314,2020.343299
2000,3731.369316,87.58878968,3559.698443,3731.369316,3903.04019,0.02017349,0.000339379,0.01950832,0.02017349,0.020838659,0.037313693,0.035596984,0.039030402,2017.348952,1950.831974,2083.865931
2001,3761.678371,87.8737929,3589.448901,3761.678371,3933.90784,0.019881075,0.000332593,0.019229206,0.019881075,0.020532945,0.037616784,0.035894489,0.039339078,1988.107527,1922.920563,2053.294491
2002,3673.767512,86.51947769,3504.192452,3673.767512,3843.342573,0.018944074,0.000318368,0.018320084,0.018944074,0.019568065,0.036737675,0.035041925,0.038433426,1894.407438,1832.008406,1956.806471
2003,3541.171179,84.54517251,3375.465686,3541.171179,3706.876672,0.017798408,0.000301849,0.017206794,0.017798408,0.018390021,0.035411712,0.033754657,0.037068767,1779.840761,1720.67939,1839.002133
2004,3438.260253,82.98559134,3275.611482,3438.260253,3600.909023,0.016844061,0.000287683,0.016280213,0.016844061,0.017407908,0.034382603,0.032756115,0.03600909,1684.406095,1628.021339,1740.79085
2005,3436.940173,82.8627725,3274.532123,3436.940173,3599.348223,0.016422531,0.000279815,0.015874104,0.016422531,0.016970958,0.034369402,0.032745321,0.035993482,1642.253119,1587.410412,1697.095826
2006,3549.03841,84.26393693,3383.884129,3549.03841,3714.192692,0.016554972,0.000277981,0.016010139,0.016554972,0.017099806,0.035490384,0.033838841,0.037141927,1655.497232,1601.01386,1709.980603
2007,3747.99158,86.92378138,3577.624099,3747.99158,3918.359061,0.017077933,0.000281171,0.016526848,0.017077933,0.017629019,0.037479916,0.035776241,0.039183591,1707.793342,1652.684772,1762.901912
2008,4007.540515,90.36301206,3830.432266,4007.540515,4184.648764,0.017835071,0.000286969,0.017272621,0.017835071,0.018397521,0.040075405,0.038304323,0.041846488,1783.507127,1727.262145,1839.752109
2009,4304.05519,94.15462156,4119.515523,4304.05519,4488.594858,0.018693452,0.000293321,0.018118553,0.018693452,0.019268351,0.043040552,0.041195155,0.044885949,1869.345212,1811.855307,1926.835118
