Time,mean,sd,0.025Q,0.5Q,0.975Q,mean,sd,0.025Q,0.5Q,0.975Q,case,caselow,caseup,rate,ratelow,rateup
1990,26317.74571,268.3955792,25791.70004,26317.74571,26843.79138,0.005701612,4.63E-05,0.005610821,0.005701612,0.005792403,0.263177457,0.257917,0.268437914,570.1611972,561.0820978,579.2402966
1991,28201.15127,272.8805772,27666.31516,28201.15127,28735.98737,0.005967812,4.55E-05,0.005878602,0.005967812,0.006057021,0.282011513,0.276663152,0.287359874,596.7811798,587.8602183,605.7021412
1992,30546.61582,283.894266,29990.19329,30546.61582,31103.03836,0.006316222,4.63E-05,0.006225557,0.006316222,0.006406888,0.305466158,0.299901933,0.311030384,631.6222399,622.5557001,640.6887797
1993,33316.56826,299.2844139,32729.98159,33316.56826,33903.15493,0.006731908,4.79E-05,0.006637978,0.006731908,0.006825838,0.333165683,0.327299816,0.339031549,673.1907753,663.7977611,682.5837894
1994,36537.06765,320.3088485,35909.27385,36537.06765,37164.86146,0.007212691,5.07E-05,0.007113246,0.007212691,0.007312136,0.365370677,0.359092738,0.371648615,721.2690706,711.3245634,731.2135778
1995,40285.361,351.3203448,39596.78577,40285.361,40973.93622,0.007766507,5.56E-05,0.007657555,0.007766507,0.007875458,0.40285361,0.395967858,0.409739362,776.650698,765.7555482,787.5458478
1996,45318.22652,359.3452084,44613.92285,45318.22652,46022.53018,0.008527668,5.45E-05,0.008420896,0.008527668,0.008634439,0.453182265,0.446139229,0.460225302,852.7667742,842.0896246,863.4439237
1997,53762.48589,384.0970295,53009.66954,53762.48589,54515.30223,0.009870774,5.62E-05,0.009760583,0.009870774,0.009980966,0.537624859,0.530096695,0.545153022,987.0774456,976.0583132,998.096578
1998,63952.13192,416.1100162,63136.57127,63952.13192,64767.69256,0.011457327,5.92E-05,0.011341295,0.011457327,0.01157336,0.639521319,0.631365713,0.647676926,1145.732739,1134.129517,1157.33596
1999,74042.57192,449.0574976,73162.4354,74042.57192,74922.70845,0.012953188,6.25E-05,0.012830702,0.012953188,0.013075674,0.740425719,0.731624354,0.749227084,1295.318784,1283.070205,1307.567363
2000,82066.77105,480.783909,81124.4519,82066.77105,83009.09019,0.01403429,6.60E-05,0.013904873,0.01403429,0.014163706,0.82066771,0.811244519,0.830090902,1403.428952,1390.487286,1416.370618
2001,86334.44135,473.8048891,85405.80084,86334.44135,87263.08187,0.014450181,6.22E-05,0.014328247,0.014450181,0.014572115,0.863344414,0.854058008,0.872630819,1445.018097,1432.824743,1457.21145
2002,90295.18264,469.4785065,89375.02168,90295.18264,91215.3436,0.014805836,5.91E-05,0.01468991,0.014805836,0.014921762,0.902951826,0.893750217,0.912153436,1480.583605,1468.991029,1492.17618
2003,93801.41517,466.5773108,92886.94044,93801.41517,94715.88989,0.015072428,5.66E-05,0.014961575,0.015072428,0.01518328,0.938014152,0.928869404,0.947158899,1507.242773,1496.15753,1518.328017
2004,96767.50574,465.2988372,95855.53678,96767.50574,97679.47471,0.015228792,5.45E-05,0.01512206,0.015228792,0.015335524,0.967675057,0.958555368,0.976794747,1522.879198,1512.205978,1533.552418
2005,99155.6148,468.4365785,98237.49598,99155.6148,100073.7336,0.015266684,5.34E-05,0.015162027,0.015266684,0.01537134,0.991556148,0.98237496,1.000737336,1526.668375,1516.202702,1537.134048
2006,98821.00765,462.7974273,97913.94136,98821.00765,99728.07394,0.014867253,5.11E-05,0.014767101,0.014867253,0.014967404,0.988210077,0.979139414,0.997280739,1486.725262,1476.7101,1496.740425
2007,95755.28461,453.6351789,94866.176,95755.28461,96644.39322,0.014064073,4.87E-05,0.013968585,0.014064073,0.014159562,0.957552846,0.94866176,0.966443932,1406.40732,1396.858468,1415.956173
2008,91690.31442,443.6185644,90820.83801,91690.31442,92559.79083,0.013143304,4.65E-05,0.013052219,0.013143304,0.013234388,0.916903144,0.90820838,0.925597908,1314.330358,1305.221892,1323.438824
2009,88656.19333,437.1127684,87799.46804,88656.19333,89512.91861,0.012408537,4.48E-05,0.012320749,0.012408537,0.012496325,0.886561933,0.87799468,0.895129186,1240.853711,1232.07494,1249.632482
2010,88998.4213,440.0683628,88135.90316,88998.4213,89860.93944,0.012174034,4.43E-05,0.012087299,0.012174034,0.012260769,0.889984213,0.881359032,0.898609394,1217.403395,1208.729897,1226.076893
2011,97384.61591,457.1398133,96488.63834,97384.61591,98280.59348,0.013032931,4.47E-05,0.012945308,0.013032931,0.013120554,0.973846159,0.964886383,0.982805935,1303.293114,1294.530842,1312.055386
2012,115642.2845,496.9789238,114668.2238,115642.2845,116616.3453,0.015154271,4.75E-05,0.015061187,0.015154271,0.015247355,1.156422845,1.146682238,1.166163453,1515.427062,1506.118673,1524.73545
2013,140639.7256,548.1553313,139565.3609,140639.7256,141714.0903,0.018057617,5.13E-05,0.017957008,0.018057617,0.018158226,1.406397256,1.395653609,1.417140903,1805.761675,1795.700798,1815.822552
2014,168877.8909,601.8487819,167698.2889,168877.8909,170057.4928,0.021251235,5.53E-05,0.021142786,0.021251235,0.021359684,1.688778909,1.676982889,1.700574928,2125.123505,2114.278622,2135.968389
2015,196514.6911,652.5296532,195235.7565,196514.6911,197793.6258,0.024237817,5.91E-05,0.024122064,0.024237817,0.024353569,1.965146911,1.952357565,1.977936258,2423.781665,2412.206427,2435.356902
2016,228676.5608,702.8371277,227299.0254,228676.5608,230054.0963,0.027645434,6.23E-05,0.027523389,0.027645434,0.027767479,2.286765608,2.272990254,2.300540963,2764.543398,2752.338861,2776.747935
2017,256726.1117,744.1010736,255267.7004,256726.1117,258184.523,0.030424858,6.46E-05,0.030298281,0.030424858,0.030551436,2.567261117,2.552677004,2.58184523,3042.485844,3029.828115,3055.143574
2018,271940.5562,764.6650609,270441.8402,271940.5562,273439.2722,0.03159776,6.50E-05,0.031470396,0.03159776,0.031725123,2.719405562,2.704418402,2.734392722,3159.775953,3147.039621,3172.512286
2019,281952.1152,778.5437716,280426.1974,281952.1152,283478.0329,0.032127198,6.49E-05,0.032000042,0.032127198,0.032254354,2.819521152,2.804261974,2.834780329,3212.719827,3200.004207,3225.435447
2020,323217.261,32611.30816,259300.2715,323217.261,387134.2505,0.036125661,0.003644378,0.02898281,0.036125661,0.043268511,3.23217261,2.593002715,3.871342505,3612.566062,2898.281016,4326.851109
2021,343757.0858,53829.4029,238253.3949,343757.0858,449260.7768,0.037696776,0.005902641,0.026127813,0.037696776,0.049265739,3.437570858,2.382533949,4.492607768,3769.677567,2612.781255,4926.57388
2022,365489.5231,83446.5182,201937.3528,365489.5231,529041.6934,0.039333056,0.008980067,0.021732448,0.039333056,0.056933664,3.654895231,2.019373528,5.290416934,3933.305616,2173.244803,5693.366428
2023,388472.4269,121161.3403,151000.5637,388472.4269,625944.2902,0.041036841,0.012798882,0.015951493,0.041036841,0.06612219,3.884724269,1.510005637,6.259442902,4103.684133,1595.149278,6612.218988
2024,412774.6719,167283.4329,84905.16822,412774.6719,740644.1755,0.042811373,0.017349855,0.008806282,0.042811373,0.076816464,4.127746719,0.849051682,7.406441755,4281.137299,880.6282452,7681.646353
2025,438466.5154,222412.628,2545.774722,438466.5154,874387.2561,0.044659831,0.022653649,0.000259496,0.044659831,0.089060167,4.384665154,0.025457747,8.743872561,4465.983114,25.94956417,8906.016664
