Time,mean,sd,0.025Q,0.5Q,0.975Q,mean,sd,0.025Q,0.5Q,0.975Q,case,caselow,caseup,rate,ratelow,rateup
1990,1522.138779,52.41091268,1419.415278,1522.138779,1624.86228,0.015805561,0.000363398,0.015093315,0.015805561,0.016517808,0.015221388,0.014194153,0.016248623,1580.556133,1509.331512,1651.780754
1991,1862.089702,54.11949122,1756.017448,1862.089702,1968.161955,0.018851069,0.000330661,0.018202985,0.018851069,0.019499152,0.018620897,0.017560174,0.01968162,1885.106856,1820.298501,1949.915212
1992,2211.30211,59.32162101,2095.033869,2211.30211,2327.57035,0.021810724,0.000356685,0.021111635,0.021810724,0.022509814,0.022113021,0.020950339,0.023275704,2181.072445,2111.163476,2250.981415
1993,2527.129828,63.69782684,2402.284381,2527.129828,2651.975274,0.024322478,0.000376501,0.02358455,0.024322478,0.025060407,0.025271298,0.024022844,0.026519753,2432.247839,2358.454989,2506.04069
1994,2778.139561,67.01763395,2646.787412,2778.139561,2909.49171,0.026201448,0.000390372,0.025436334,0.026201448,0.026966563,0.027781396,0.026467874,0.029094917,2620.144828,2543.633389,2696.656266
1995,2949.697899,69.27498707,2813.92142,2949.697899,3085.474379,0.027430119,0.000399905,0.02664632,0.027430119,0.028213919,0.029496979,0.028139214,0.030854744,2743.011949,2664.631999,2821.391899
1996,3058.779987,70.54377866,2920.516722,3058.779987,3197.043253,0.028240714,0.000404307,0.027448287,0.028240714,0.029033142,0.0305878,0.029205167,0.031970433,2824.071412,2744.828651,2903.314173
1997,3143.065998,71.52307231,3002.883352,3143.065998,3283.248644,0.028975561,0.000409435,0.028173083,0.028975561,0.029778039,0.03143066,0.030028834,0.032832486,2897.556072,2817.308265,2977.803878
1998,3210.906602,72.31820688,3069.165521,3210.906602,3352.647683,0.029674016,0.000415259,0.028860124,0.029674016,0.030487908,0.032109066,0.030691655,0.033526477,2967.401625,2886.012444,3048.790806
1999,3263.090351,72.94301336,3120.124672,3263.090351,3406.05603,0.030278562,0.000420907,0.0294536,0.030278562,0.031103524,0.032630904,0.031201247,0.03406056,3027.856203,2945.36,3110.352405
2000,3301.253252,73.41579144,3157.360945,3301.253252,3445.145559,0.030736495,0.000425506,0.029902518,0.030736495,0.031570472,0.033012533,0.031573609,0.034451456,3073.649506,2990.25185,3157.047163
2001,3328.898036,73.77633815,3184.29907,3328.898036,3473.497002,0.031061846,0.000429027,0.030220969,0.031061846,0.031902723,0.03328898,0.031842991,0.03473497,3106.1846,3022.096897,3190.272303
2002,3342.086733,73.96664037,3197.114782,3342.086733,3487.058684,0.031226576,0.000431114,0.030381608,0.031226576,0.032071544,0.033420867,0.031971148,0.034870587,3122.657585,3038.160789,3207.15438
2003,3342.183871,74.01424481,3197.118617,3342.183871,3487.249125,0.031263998,0.000432322,0.030416662,0.031263998,0.032111333,0.033421839,0.031971186,0.034872491,3126.39976,3041.666246,3211.133273
2004,3322.966606,73.83169557,3178.259142,3322.966606,3467.674071,0.031165278,0.00043266,0.030317281,0.031165278,0.032013275,0.033229666,0.031782591,0.034676741,3116.527805,3031.728067,3201.327543
2005,3269.255766,73.2162314,3125.754589,3269.255766,3412.756943,0.030802806,0.00043088,0.029958297,0.030802806,0.031647314,0.032692558,0.031257546,0.034127569,3080.280554,2995.829719,3164.731389
2006,3123.718058,71.4584379,2983.662094,3123.718058,3263.774023,0.029644106,0.000422555,0.028815914,0.029644106,0.030472298,0.031237181,0.029836621,0.03263774,2964.410631,2881.591416,3047.229846
2007,2864.943847,68.06297464,2731.542868,2864.943847,2998.344826,0.027430955,0.00040255,0.026641972,0.027430955,0.028219939,0.028649438,0.027315429,0.029983448,2743.095543,2664.19719,2821.993896
2008,2573.025756,64.07854116,2447.434123,2573.025756,2698.617389,0.024848388,0.00037812,0.024107286,0.024848388,0.02558949,0.025730258,0.024474341,0.026986174,2484.838826,2410.728619,2558.949034
2009,2339.83161,60.87138864,2220.52588,2339.83161,2459.137339,0.02272321,0.000358864,0.022019849,0.02272321,0.02342657,0.023398316,0.022205259,0.024591373,2272.320954,2201.984882,2342.657027
2010,2235.754042,59.49561636,2119.144776,2235.754042,2352.363307,0.021724067,0.000350874,0.021036366,0.021724067,0.022411768,0.02235754,0.021191448,0.023523633,2172.406663,2103.636554,2241.176772
2011,2255.843632,59.76025201,2138.71569,2255.843632,2372.971573,0.021806547,0.000350602,0.02111938,0.021806547,0.022493713,0.022558436,0.021387157,0.023729716,2180.654659,2111.937976,2249.371342
2012,2361.386765,61.28106183,2241.278091,2361.386765,2481.495439,0.022595705,0.000357262,0.021895484,0.022595705,0.023295927,0.023613868,0.022412781,0.024814954,2259.570517,2189.548372,2329.592663
2013,2525.798934,63.62540346,2401.095434,2525.798934,2650.502433,0.023845839,0.000368364,0.023123859,0.023845839,0.024567819,0.025257989,0.024010954,0.026505024,2384.583876,2312.385852,2456.7819
2014,2730.382364,66.49066065,2600.063064,2730.382364,2860.701665,0.025412144,0.000382685,0.024662095,0.025412144,0.026162193,0.027303824,0.026000631,0.028607017,2541.214367,2466.209466,2616.219268
2015,2963.917127,69.70220966,2827.303307,2963.917127,3100.530948,0.027220369,0.000399736,0.026436901,0.027220369,0.028003837,0.029639171,0.028273033,0.031005309,2722.036926,2643.690144,2800.383708
2016,3281.06916,73.83164137,3136.361802,3281.06916,3425.776518,0.029769715,0.000422662,0.028941313,0.029769715,0.030598118,0.032810692,0.031363618,0.034257765,2976.971519,2894.131257,3059.811782
2017,3564.168975,77.52259943,3412.227472,3564.168975,3716.110478,0.031976826,0.000443679,0.031107232,0.031976826,0.03284642,0.03564169,0.034122275,0.037161105,3197.682575,3110.723184,3284.641966
2018,3697.010769,79.24668961,3541.690111,3697.010769,3852.331426,0.032821473,0.000451203,0.031937132,0.032821473,0.033705815,0.036970108,0.035416901,0.038523314,3282.147344,3193.713211,3370.581478
2019,3757.650486,85.54036538,3589.994451,3757.650486,3925.306521,0.033016584,0.000524216,0.031989139,0.033016584,0.034044029,0.037576505,0.035899945,0.039253065,3301.658439,3198.913942,3404.402936
2020,3856.890053,203.7328715,3457.580962,3856.890053,4256.199143,0.033532051,0.001686967,0.030225658,0.033532051,0.036838445,0.038568901,0.03457581,0.042561991,3353.205113,3022.56575,3683.844475
2021,3927.556182,367.2574172,3207.744871,3927.556182,4647.367492,0.033783976,0.003112733,0.027683132,0.033783976,0.039884821,0.039275562,0.032077449,0.046473675,3378.397644,2768.313195,3988.482094
2022,3996.527917,575.6067939,2868.359332,3996.527917,5124.696502,0.034017057,0.004869726,0.024472568,0.034017057,0.043561545,0.039965279,0.028683593,0.051246965,3401.705664,2447.256816,4356.154513
2023,4062.903491,821.4282739,2452.933658,4062.903491,5672.873323,0.034226029,0.006898873,0.020704486,0.034226029,0.047747573,0.040629035,0.024529337,0.056728733,3422.602934,2070.448588,4774.75728
2024,4127.536081,1101.696472,1968.250674,4127.536081,6286.821488,0.034418793,0.009171218,0.016443536,0.034418793,0.05239405,0.041275361,0.019682507,0.062868215,3441.879305,1644.353641,5239.404968
2025,4191.220189,1414.969325,1417.931273,4191.220189,6964.509104,0.034605866,0.011670816,0.011731487,0.034605866,0.057480244,0.041912202,0.014179313,0.069645091,3460.58655,1173.148676,5748.024424
2026,4254.369776,1760.121877,804.5942899,4254.369776,7704.145263,0.034787765,0.014382542,0.006598502,0.034787765,0.062977029,0.042543698,0.008045943,0.077041453,3478.776546,659.8502037,6297.702888
2027,4314.569879,2135.145759,129.7610902,4314.569879,8499.378667,0.03495277,0.017288846,0.001067254,0.03495277,0.068838285,0.043145699,0.001297611,0.084993787,3495.276959,106.7254096,6883.828509
2028,4371.498561,2538.693596,-604.2494561,4371.498561,9347.246578,0.035094116,0.02037356,-0.004837327,0.035094116,0.075025559,0.043714986,-0.006042495,0.093472466,3509.411601,-483.7327433,7502.555945
2029,4424.775657,2969.437592,-1395.215077,4424.775657,10244.76639,0.035216768,0.023627809,-0.011092886,0.035216768,0.081526423,0.044247757,-0.013952151,0.102447664,3521.676846,-1109.288638,8152.642331
2030,4476.188266,3427.670909,-2241.923267,4476.188266,11194.2998,0.03532931,0.0270485,-0.017684776,0.03532931,0.088343396,0.044761883,-0.022419233,0.111942998,3532.931014,-1768.477564,8834.339592
2031,4524.918936,3911.880555,-3142.226064,4524.918936,12192.06394,0.035434533,0.030629314,-0.02459782,0.035434533,0.095466885,0.045249189,-0.031422261,0.121920639,3543.453254,-2459.782004,9546.688511
2032,4570.155507,4420.267465,-4093.409527,4570.155507,13233.72054,0.035523393,0.034354308,-0.031809815,0.035523393,0.1028566,0.045701555,-0.040934095,0.132337205,3552.339262,-3180.98145,10285.65997
2033,4611.365207,4951.023566,-5092.462669,4611.365207,14315.19308,0.035590584,0.038208478,-0.039296656,0.035590584,0.110477825,0.046113652,-0.050924627,0.143151931,3559.058408,-3929.665636,11047.78245
2034,4648.29405,5502.483482,-6136.3754,4648.29405,15432.9635,0.03564096,0.04218725,-0.047044529,0.03564096,0.11832645,0.04648294,-0.061363754,0.154329635,3564.096036,-4704.452934,11832.645
2035,4682.402469,6075.109282,-7224.592925,4682.402469,16589.39786,0.03568306,0.046293487,-0.055050507,0.03568306,0.126416626,0.046824025,-0.072245929,0.165893979,3568.305977,-5505.050661,12641.66262
