Time,mean,sd,0.025Q,0.5Q,0.975Q,mean,sd,0.025Q,0.5Q,0.975Q,case,caselow,caseup,rate,ratelow,rateup
1990,110379.0633,514.8404741,109369.9945,110379.0633,111388.132,0.012297685,4.38E-05,0.012211802,0.012297685,0.012383567,1.103790633,1.093699945,1.11388132,1229.7685,1221.1802,1238.3567
1991,111392.0274,505.9705598,110400.3433,111392.0274,112383.7115,0.011991437,4.09E-05,0.0119112,0.011991437,0.012071673,1.113920274,1.104003433,1.123837115,1199.1437,1191.12,1207.1673
1992,112674.3445,507.5528363,111679.5592,112674.3445,113669.1297,0.011707765,3.96E-05,0.011630232,0.011707765,0.011785297,1.126743445,1.116795592,1.136691297,1170.7765,1163.0232,1178.5297
1993,114359.8974,511.8071203,113356.7739,114359.8974,115363.0209,0.011469565,3.85E-05,0.011394048,0.011469565,0.011545082,1.143598974,1.133567739,1.153630209,1146.9565,1139.4048,1154.5082
1994,116115.9875,516.7553884,115103.1655,116115.9875,117128.8094,0.011253838,3.77E-05,0.011180043,0.011253838,0.011327634,1.161159875,1.151031655,1.171288094,1125.3838,1118.0043,1132.7634
1995,117741.0014,521.1220325,116719.621,117741.0014,118762.3819,0.011049118,3.68E-05,0.01097698,0.011049118,0.011121256,1.177410014,1.16719621,1.187623819,1104.9118,1097.698,1112.1256
1996,119024.6267,521.9484672,118001.6265,119024.6267,120047.6269,0.010837249,3.57E-05,0.010767353,0.010837249,0.010907145,1.190246267,1.180016265,1.200476269,1083.7249,1076.7353,1090.7145
1997,120089.9953,522.6480783,119065.6239,120089.9953,121114.3667,0.010628756,3.46E-05,0.010560887,0.010628756,0.010696624,1.200899953,1.190656239,1.211143667,1062.8756,1056.0887,1069.6624
1998,121823.4086,526.1234956,120792.2255,121823.4086,122854.5917,0.010501556,3.39E-05,0.010435042,0.010501556,0.01056807,1.218234086,1.207922255,1.228545917,1050.1556,1043.5042,1056.807
1999,124281.7229,532.2556234,123238.5211,124281.7229,125324.9248,0.010455735,3.35E-05,0.010389983,0.010455735,0.010521488,1.242817229,1.232385211,1.253249248,1045.5735,1038.9983,1052.1488
2000,126906.3278,539.0813631,125849.7477,126906.3278,127962.9078,0.010440462,3.33E-05,0.010375222,0.010440462,0.010505701,1.269063278,1.258497477,1.279629078,1044.0462,1037.5222,1050.5701
2001,132617.2021,546.984076,131545.133,132617.2021,133689.2712,0.010690271,3.29E-05,0.010625788,0.010690271,0.010754753,1.326172021,1.31545133,1.336892712,1069.0271,1062.5788,1075.4753
2002,144344.6525,567.8854614,143231.6175,144344.6525,145457.6876,0.011421733,3.34E-05,0.011356274,0.011421733,0.011487192,1.443446525,1.432316175,1.454576876,1142.1733,1135.6274,1148.7192
2003,159699.1156,597.2730845,158528.4819,159699.1156,160869.7494,0.012421981,3.45E-05,0.012354309,0.012421981,0.012489653,1.596991156,1.585284819,1.608697494,1242.1981,1235.4309,1248.9653
2004,174526.9345,625.4927264,173300.9913,174526.9345,175752.8777,0.013356849,3.56E-05,0.01328702,0.013356849,0.013426678,1.745269345,1.733009913,1.757528777,1335.6849,1328.702,1342.6678
2005,183636.2969,641.6311999,182378.7228,183636.2969,184893.8709,0.013834957,3.60E-05,0.013764441,0.013834957,0.013905473,1.836362969,1.823787228,1.848938709,1383.4957,1376.4441,1390.5473
