Time,mean,sd,0.025Q,0.5Q,0.975Q,mean,sd,0.025Q,0.5Q,0.975Q,case,caselow,caseup,rate,ratelow,rateup
1990,168219.1435,609.8223752,167023.9136,168219.1435,169414.3734,0.009330049,2.50E-05,0.009280991,0.009330049,0.009379108,1.682191435,1.670239136,1.694143734,933.0049116,928.0990653,937.9107579
1991,173561.5,613.8215936,172358.4318,173561.5,174764.5682,0.009371601,2.43E-05,0.009323894,0.009371601,0.009419309,1.735615,1.723584318,1.747645682,937.1601131,932.389361,941.9308652
1992,179588.1849,621.8523041,178369.3768,179588.1849,180806.993,0.009450687,2.39E-05,0.009403747,0.009450687,0.009497626,1.795881849,1.783693768,1.80806993,945.0686634,940.3747354,949.7625915
1993,186304.0837,631.8116121,185065.7557,186304.0837,187542.4117,0.009561459,2.37E-05,0.009515048,0.009561459,0.00960787,1.863040837,1.850657557,1.875424117,956.1459086,951.5048272,960.78699
1994,193468.2557,643.0372856,192207.9258,193468.2557,194728.5857,0.009684304,2.35E-05,0.009638284,0.009684304,0.009730324,1.934682557,1.922079258,1.947285857,968.4303755,963.8283773,973.0323736
1995,201001.362,655.337574,199716.924,201001.362,202285.8001,0.009810877,2.33E-05,0.00976515,0.009810877,0.009856603,2.01001362,1.99716924,2.022858001,981.0876959,976.5150488,985.660343
1996,209062.5142,665.781552,207757.6064,209062.5142,210367.4221,0.009947012,2.30E-05,0.009901883,0.009947012,0.009992142,2.090625142,2.077576064,2.103674221,994.7012277,990.188279,999.2141764
1997,218603.7911,679.1292872,217272.7221,218603.7911,219934.86,0.01013801,2.28E-05,0.010093239,0.01013801,0.010182782,2.186037911,2.172727221,2.1993486,1013.801048,1009.323915,1018.278181
1998,229180.5061,694.4728305,227819.3643,229180.5061,230541.6478,0.01036329,2.27E-05,0.010318702,0.01036329,0.010407879,2.291805061,2.278193643,2.305416478,1036.329027,1031.870161,1040.787893
1999,240063.3654,710.3678102,238671.0701,240063.3654,241455.6608,0.010593542,2.27E-05,0.010549056,0.010593542,0.010638028,2.400633654,2.386710701,2.414556608,1059.354228,1054.905614,1063.802842
2000,250616.995,725.8945608,249194.2678,250616.995,252039.7222,0.010805134,2.27E-05,0.010760715,0.010805134,0.010849552,2.50616995,2.491942678,2.520397222,1080.513375,1076.071536,1084.955214
2001,261886.0924,738.9647003,260437.7482,261886.0924,263334.4366,0.011045798,2.25E-05,0.011001729,0.011045798,0.011089867,2.618860924,2.604377482,2.633344366,1104.579789,1100.172905,1108.986673
2002,275860.6866,755.6283774,274379.6822,275860.6866,277341.691,0.011395251,2.24E-05,0.011351269,0.011395251,0.011439233,2.758606866,2.743796822,2.77341691,1139.525079,1135.126861,1143.923297
2003,291001.4722,774.0106544,289484.4392,291001.4722,292518.5052,0.011781999,2.25E-05,0.011737952,0.011781999,0.011826045,2.910014722,2.894844392,2.925185052,1178.199851,1173.795201,1182.604501
2004,305447.9211,791.865566,303895.8931,305447.9211,306999.9491,0.01212545,2.25E-05,0.012081326,0.01212545,0.012169573,3.054479211,3.038958931,3.069999491,1212.544962,1208.132623,1216.957302
2005,316938.4556,806.3901438,315357.9599,316938.4556,318518.9512,0.012336741,2.25E-05,0.012292694,0.012336741,0.012380787,3.169384556,3.153579599,3.185189512,1233.67407,1229.269448,1238.078691
2006,324303.2422,813.6513175,322708.5149,324303.2422,325897.9695,0.012377063,2.22E-05,0.012333593,0.012377063,0.012420534,3.243032422,3.227085149,3.258979695,1237.706326,1233.359261,1242.053391
2007,331078.8998,820.7875343,329470.1858,331078.8998,332687.6138,0.012390507,2.19E-05,0.012347573,0.012390507,0.012433442,3.310788998,3.294701858,3.326876138,1239.05072,1234.757257,1243.344184
2008,337764.9788,828.1799188,336141.776,337764.9788,339388.1816,0.012401415,2.17E-05,0.012358956,0.012401415,0.012443874,3.377649788,3.36141776,3.393881816,1240.14151,1235.895633,1244.387386
2009,344934.6847,836.4130537,343295.3453,344934.6847,346574.0242,0.012436784,2.15E-05,0.0123947,0.012436784,0.012478869,3.449346847,3.432953453,3.465740242,1243.678428,1239.469994,1247.886863
2010,353076.6485,846.1490284,351418.2269,353076.6485,354735.0701,0.012516885,2.14E-05,0.012475029,0.012516885,0.012558742,3.530766485,3.514182269,3.547350701,1251.688521,1247.502863,1255.87418
2011,368987.5104,863.8025199,367294.4886,368987.5104,370680.5322,0.012878713,2.14E-05,0.012836701,0.012878713,0.012920725,3.689875104,3.672944886,3.706805322,1287.871278,1283.670053,1292.072502
2012,395626.4713,893.844456,393874.5683,395626.4713,397378.3742,0.01361029,2.18E-05,0.013567468,0.01361029,0.013653111,3.956264713,3.938745683,3.973783742,1361.028963,1356.74682,1365.311106
2013,427036.8527,928.4967156,425217.0326,427036.8527,428856.6729,0.014491091,2.24E-05,0.014447222,0.014491091,0.014534961,4.270368527,4.252170326,4.288566729,1449.109127,1444.722173,1453.49608
2014,456600.2454,960.061936,454718.5586,456600.2454,458481.9322,0.015287986,2.28E-05,0.01524323,0.015287986,0.015332741,4.566002454,4.547185586,4.584819322,1528.79857,1524.323044,1533.274096
2015,476899.9838,980.9387361,474977.3792,476899.9838,478822.5884,0.01575437,2.30E-05,0.015709263,0.01575437,0.015799477,4.768999838,4.749773792,4.788225884,1575.437003,1570.92629,1579.947716
2016,461907.4744,964.5551298,460016.9811,461907.4744,463797.9678,0.015053372,2.23E-05,0.015009654,0.015053372,0.01509709,4.619074744,4.600169811,4.637979678,1505.337178,1500.965353,1509.709003
2017,442165.0059,943.2578224,440316.2545,442165.0059,444013.7573,0.014215397,2.15E-05,0.014173241,0.014215397,0.014257552,4.421650059,4.403162545,4.440137573,1421.539657,1417.324115,1425.755198
2018,447842.7906,949.1964818,445982.3996,447842.7906,449703.1815,0.01420459,2.14E-05,0.014162743,0.01420459,0.014246437,4.478427906,4.459823996,4.497031815,1420.459026,1416.274337,1424.643715
2019,458612.5361,961.2890137,456728.4443,458612.5361,460496.628,0.014354165,2.14E-05,0.014312312,0.014354165,0.014396017,4.586125361,4.567284443,4.60496628,1435.416478,1431.231212,1439.601745
2020,453981.941,19660.13795,415448.7787,453981.941,492515.1034,0.014026508,0.000607075,0.012836663,0.014026508,0.015216354,4.53981941,4.154487787,4.925151034,1402.650835,1283.666317,1521.635352
2021,457802.2027,31115.48791,396816.9671,457802.2027,518787.4384,0.013967521,0.000949107,0.012107305,0.013967521,0.015827738,4.578022027,3.968169671,5.187874384,1396.752133,1210.730493,1582.773773
2022,462202.4585,46070.79973,371905.3503,462202.4585,552499.5667,0.013929699,0.001388315,0.011208652,0.013929699,0.016650746,4.622024585,3.719053503,5.524995667,1392.969947,1120.865245,1665.074648
2023,467233.1871,63812.69997,342162.5934,467233.1871,592303.7808,0.013914337,0.001900251,0.010189913,0.013914337,0.017638761,4.672331871,3.421625934,5.923037808,1391.433675,1018.991271,1763.876079
2024,472759.9416,84054.66696,308015.8216,472759.9416,637504.0616,0.013917274,0.002474348,0.009067641,0.013917274,0.018766907,4.727599416,3.080158216,6.375040616,1391.727392,906.7640666,1876.690717
2025,478657.3881,106687.5359,269553.6601,478657.3881,687761.116,0.01393474,0.003105837,0.007847411,0.01393474,0.020022069,4.786573881,2.695536601,6.87761116,1393.474008,784.7411431,2002.206873
2026,484966.1257,131667.9712,226901.6442,484966.1257,743030.6071,0.013967784,0.003792191,0.006535227,0.013967784,0.021400341,4.849661257,2.269016442,7.430306071,1396.7784,653.5226699,2140.03413
2027,491824.7645,159042.0863,180108.0034,491824.7645,803541.5256,0.014020047,0.004533639,0.005134278,0.014020047,0.022905815,4.918247645,1.801080034,8.035415256,1402.004665,513.4278058,2290.581523
2028,499294.1687,188894.2023,129068.3354,499294.1687,869520.002,0.014092773,0.005331576,0.003643077,0.014092773,0.02454247,4.992941687,1.290683354,8.69520002,1409.277349,364.3077438,2454.246955
2029,507275.883,221291.0712,73553.35331,507275.883,940998.4128,0.014182634,0.006186918,0.002056499,0.014182634,0.02630877,5.07275883,0.735533533,9.409984128,1418.26343,205.6498657,2630.876994
2030,515670.4863,256300.183,13331.35832,515670.4863,1018009.614,0.014286459,0.007100673,0.000369395,0.014286459,0.028203523,5.156704863,0.133313583,10.18009614,1428.645916,36.93949528,2820.352337
2031,524506.191,294019.7693,-51761.96768,524506.191,1100774.35,0.014404762,0.00807478,-0.001421515,0.014404762,0.03023104,5.24506191,-0.517619677,11.0077435,1440.476231,-142.1515459,3023.104009
2032,533876.7851,334607.6329,-121942.1244,533876.7851,1189695.695,0.014539957,0.009112906,-0.003321011,0.014539957,0.032400925,5.338767851,-1.219421244,11.89695695,1453.995729,-332.1010759,3240.092534
2033,543823.3813,378226.3977,-197486.7362,543823.3813,1285133.499,0.014692984,0.010218876,-0.005335645,0.014692984,0.034721614,5.438233813,-1.974867362,12.85133499,1469.298404,-533.5645469,3472.161355
2034,554261.5453,424977.1591,-278678.3809,554261.5453,1387201.471,0.014861447,0.01139492,-0.007472186,0.014861447,0.03719508,5.542615453,-2.786783809,13.87201471,1486.144741,-747.2185549,3719.508038
2035,565116.3388,474958.6634,-365785.5356,565116.3388,1496018.213,0.015043232,0.012643245,-0.009737073,0.015043232,0.039823538,5.651163388,-3.657855356,14.96018213,1504.323237,-973.7073398,3982.353814
