Time,mean,sd,0.025Q,0.5Q,0.975Q,mean,sd,0.025Q,0.5Q,0.975Q,case,caselow,caseup,rate,ratelow,rateup
1990,123781.0427,516.1666519,122769.3747,123781.0427,124792.7108,0.006547363,2.00E-05,0.006508208,0.006547363,0.006586519,1.237810427,1.227693747,1.247927108,654.736313,650.8207731,658.651853
1991,126948.2753,508.3989315,125951.8317,126948.2753,127944.7189,0.006541869,1.87E-05,0.00650524,0.006541869,0.006578498,1.269482753,1.259518317,1.279447189,654.1868855,650.5240198,657.8497512
1992,130406.9014,513.9105557,129399.6552,130406.9014,131414.1475,0.006540515,1.83E-05,0.006504572,0.006540515,0.006576459,1.304069014,1.293996552,1.314141475,654.0515363,650.4571846,657.645888
1993,134157.3638,520.9661618,133136.2889,134157.3638,135178.4387,0.006547464,1.81E-05,0.006512027,0.006547464,0.006582901,1.341573638,1.331362889,1.351784387,654.7464159,651.2026884,658.2901433
1994,138154.6392,528.6230297,137118.5571,138154.6392,139190.7213,0.006566005,1.79E-05,0.006530991,0.006566005,0.006601018,1.381546392,1.371185571,1.391907213,656.6004578,653.0991046,660.1018111
1995,142357.0688,536.8487284,141304.8646,142357.0688,143409.2729,0.006597913,1.77E-05,0.006563222,0.006597913,0.006632605,1.423570688,1.413048646,1.434092729,659.7913446,656.3221544,663.2605349
1996,146940.5198,545.2333956,145871.882,146940.5198,148009.1577,0.006651796,1.76E-05,0.006617394,0.006651796,0.006686198,1.469405198,1.45871882,1.480091577,665.1796216,661.7394414,668.6198018
1997,152062.6694,554.6855804,150975.5056,152062.6694,153149.8331,0.006732973,1.75E-05,0.00669874,0.006732973,0.006767207,1.520626694,1.509755056,1.531498331,673.297341,669.8739547,676.7207273
1998,157597.7602,564.949936,156490.4786,157597.7602,158705.0417,0.006834878,1.74E-05,0.006800711,0.006834878,0.006869045,1.575977602,1.564904786,1.587050417,683.4877896,680.0710642,686.9045149
1999,163337.2067,575.5062409,162209.2352,163337.2067,164465.1782,0.006947572,1.74E-05,0.006913414,0.006947572,0.006981729,1.633372067,1.622092352,1.644651782,694.7571595,691.341435,698.172884
2000,169043.8197,585.8818349,167895.5124,169043.8197,170192.1269,0.007060821,1.74E-05,0.007026651,0.007060821,0.007094991,1.690438197,1.678955124,1.701921269,706.0821212,702.6651197,709.4991227
2001,174818.8181,595.0713094,173652.4998,174818.8181,175985.1364,0.007180269,1.74E-05,0.007146183,0.007180269,0.007214355,1.748188181,1.736524998,1.759851364,718.0268893,714.6182589,721.4355198
2002,180932.008,604.6342223,179746.9467,180932.008,182117.0693,0.007317591,1.74E-05,0.007283528,0.007317591,0.007351653,1.80932008,1.797469467,1.821170693,731.7590882,728.3528415,735.1653348
2003,187250.8039,614.4917454,186046.4222,187250.8039,188455.1856,0.007465879,1.74E-05,0.007431784,0.007465879,0.007499973,1.872508039,1.860464222,1.884551856,746.5878545,743.1784309,749.9972781
2004,193618.537,624.4823468,192394.5741,193618.537,194842.4999,0.007616978,1.74E-05,0.007582811,0.007616978,0.007651145,1.93618537,1.923945741,1.948424999,761.6978249,758.2811,765.1145498
2005,199798.9807,634.2668917,198555.8404,199798.9807,201042.1209,0.007760841,1.75E-05,0.007726583,0.007760841,0.0077951,1.997989807,1.985558404,2.010421209,776.0841371,772.6582636,779.5100106
