Time,mean,sd,0.025Q,0.5Q,0.975Q,mean,sd,0.025Q,0.5Q,0.975Q,case,caselow,caseup,rate,ratelow,rateup
1990,786725.8712,1273.31376,784230.2221,786725.8712,789221.5203,0.013910024,1.62E-05,0.013878365,0.013910024,0.013941683,7.867258712,7.842302221,7.892215203,1391.002413,1387.836549,1394.168277
1991,784412.3876,1268.219719,781926.7226,784412.3876,786898.0526,0.013705723,1.59E-05,0.013674637,0.013705723,0.013736809,7.844123876,7.819267226,7.868980526,1370.572289,1367.463716,1373.680861
1992,778736.4923,1261.569878,776263.8608,778736.4923,781209.1238,0.01347038,1.56E-05,0.013439815,0.01347038,0.013500946,7.787364923,7.762638608,7.812091238,1347.03803,1343.981454,1350.094606
1993,770333.0867,1252.874273,767877.4982,770333.0867,772788.6751,0.013204705,1.53E-05,0.013174667,0.013204705,0.013234743,7.703330867,7.678774982,7.727886751,1320.470507,1317.466716,1323.474297
1994,760223.0572,1242.948271,757786.9233,760223.0572,762659.191,0.012912433,1.50E-05,0.012882944,0.012912433,0.012941923,7.602230572,7.577869233,7.62659191,1291.243323,1288.294381,1294.192265
1995,749697.69,1232.843827,747281.3605,749697.69,752114.0195,0.012606896,1.48E-05,0.012577971,0.012606896,0.012635821,7.4969769,7.472813605,7.521140195,1260.68956,1257.797059,1263.582062
1996,726367.1926,1211.699741,723992.3048,726367.1926,728742.0805,0.012079908,1.43E-05,0.012051834,0.012079908,0.012107983,7.263671926,7.239923048,7.287420805,1207.990849,1205.183391,1210.798307
1997,686198.0318,1176.530174,683892.075,686198.0318,688503.9885,0.01127751,1.37E-05,0.011250598,0.01127751,0.011304423,6.861980318,6.83892075,6.885039885,1127.751045,1125.059836,1130.442254
1998,642146.6169,1137.824869,639916.5212,642146.6169,644376.7127,0.01042698,1.31E-05,0.010401272,0.01042698,0.010452687,6.421466169,6.399165212,6.443767127,1042.697967,1040.127203,1045.268731
1999,607170.8831,1106.888667,605001.4211,607170.8831,609340.345,0.009746145,1.26E-05,0.009721412,0.009746145,0.009770878,6.071708831,6.050014211,6.09340345,974.6144941,972.1412022,977.0877859
