Time,mean,sd,0.025Q,0.5Q,0.975Q,mean,sd,0.025Q,0.5Q,0.975Q,case,caselow,caseup,rate,ratelow,rateup
1990,788239.2099,1286.043444,785718.6111,788239.2099,790759.8087,0.011593653,1.37E-05,0.011566832,0.011593653,0.011620475,7.882392099,7.857186111,7.907598087,1159.365325,1156.683156,1162.047494
1991,819899.3393,1310.977026,817329.8716,819899.3393,822468.8071,0.011807824,1.37E-05,0.011781064,0.011807824,0.011834583,8.198993393,8.173298716,8.224688071,1180.782377,1178.106417,1183.458337
1992,848823.6317,1334.523481,846208.0137,848823.6317,851439.2496,0.011974913,1.36E-05,0.011948218,0.011974913,0.012001609,8.488236317,8.462080137,8.514392496,1197.491342,1194.821773,1200.160911
1993,874797.9266,1354.601061,872142.9573,874797.9266,877452.8959,0.012099505,1.36E-05,0.012072942,0.012099505,0.012126068,8.747979266,8.721429573,8.774528959,1209.950484,1207.294187,1212.606781
1994,897144.3302,1370.608965,894457.986,897144.3302,899830.6744,0.012180984,1.35E-05,0.012154621,0.012180984,0.012207347,8.971443302,8.94457986,8.998306744,1218.098397,1215.462086,1220.734708
1995,914640.9408,1381.077842,911934.078,914640.9408,917347.8036,0.012209789,1.33E-05,0.01218372,0.012209789,0.012235858,9.146409408,9.11934078,9.173478036,1220.978908,1218.37202,1223.585795
1996,926341.9379,1387.436325,923622.6127,926341.9379,929061.2631,0.012177695,1.31E-05,0.012151947,0.012177695,0.012203444,9.263419379,9.236226127,9.290612631,1217.769546,1215.194733,1220.34436
1997,929467.4439,1385.62394,926751.6709,929467.4439,932183.2169,0.012050159,1.29E-05,0.01202487,0.012050159,0.012075448,9.294674439,9.267516709,9.321832169,1205.015868,1202.486972,1207.544763
1998,929074.3884,1380.800638,926368.0689,929074.3884,931780.7079,0.011893566,1.27E-05,0.011868759,0.011893566,0.011918373,9.290743884,9.263680689,9.317807079,1189.356615,1186.875905,1191.837326
1999,930534.0447,1377.970178,927833.2728,930534.0447,933234.8166,0.011773566,1.25E-05,0.011749164,0.011773566,0.011797968,9.305340447,9.278332728,9.332348166,1177.356601,1174.916423,1179.79678
2000,938310.513,1380.598343,935604.5899,938310.513,941016.436,0.011742031,1.23E-05,0.011717903,0.011742031,0.011766159,9.38310513,9.356045899,9.41016436,1174.203087,1171.79027,1176.615904
2001,960353.1329,1395.63399,957617.7406,960353.1329,963088.5253,0.011894023,1.23E-05,0.011869901,0.011894023,0.011918144,9.603531329,9.576177406,9.630885253,1189.402276,1186.990142,1191.814411
2002,993675.6786,1419.416455,990893.6734,993675.6786,996457.6837,0.012187195,1.24E-05,0.012162904,0.012187195,0.012211485,9.936756786,9.908936734,9.964576837,1218.719467,1216.290429,1221.148506
2003,1030530.21,1445.610068,1027696.867,1030530.21,1033363.554,0.01252138,1.25E-05,0.01249687,0.01252138,0.01254589,10.3053021,10.27696867,10.33363554,1252.137971,1249.686987,1254.588955
2004,1062711.172,1467.910246,1059834.121,1062711.172,1065588.223,0.012794066,1.26E-05,0.012769408,0.012794066,0.012818724,10.62711172,10.59834121,10.65588223,1279.40658,1276.940754,1281.872407
2005,1081418.619,1479.831683,1078518.203,1081418.619,1084319.036,0.012899729,1.26E-05,0.012875114,0.012899729,0.012924344,10.81418619,10.78518203,10.84319036,1289.972898,1287.511401,1292.434395
2006,1077197.99,1476.505755,1074304.092,1077197.99,1080091.888,0.012730197,1.24E-05,0.012705872,0.012730197,0.012754522,10.7719799,10.74304092,10.80091888,1273.019667,1270.587183,1275.452152
2007,1050636.044,1457.493679,1047779.409,1050636.044,1053492.679,0.012299709,1.21E-05,0.012275934,0.012299709,0.012323484,10.50636044,10.47779409,10.53492679,1229.970863,1227.593353,1232.348373
2008,1013972.177,1431.210107,1011167.057,1013972.177,1016777.297,0.011757096,1.18E-05,0.011733982,0.011757096,0.011780209,10.13972177,10.11167057,10.16777297,1175.709556,1173.398213,1178.020898
2009,979923.2341,1406.493773,977166.557,979923.2341,982679.9113,0.011251555,1.15E-05,0.01122907,0.011251555,0.01127404,9.799232341,9.77166557,9.826799113,1125.155492,1122.906958,1127.404026
2010,960785.0752,1392.150742,958056.5099,960785.0752,963513.6405,0.010922027,1.12E-05,0.010900001,0.010922027,0.010944053,9.607850752,9.580565099,9.635136405,1092.202668,1090.000053,1094.405284
2011,953006.2495,1386.88436,950288.0061,953006.2495,955724.4929,0.010723432,1.11E-05,0.010701707,0.010723432,0.010745158,9.530062495,9.502880061,9.557244929,1072.343207,1070.170652,1074.515763
2012,943277.9339,1380.098097,940572.9913,943277.9339,945982.8764,0.010503983,1.09E-05,0.010482583,0.010503983,0.010525383,9.432779339,9.405729913,9.459828764,1050.398333,1048.258338,1052.538329
2013,934569.947,1374.028031,931876.9015,934569.947,937262.9924,0.010297997,1.08E-05,0.01027691,0.010297997,0.010319085,9.34569947,9.318769015,9.372629924,1029.799718,1027.69098,1031.908457
2014,929862.929,1370.815591,927176.1798,929862.929,932549.6782,0.010138741,1.06E-05,0.010117919,0.010138741,0.010159562,9.29862929,9.271761798,9.325496782,1013.874054,1011.79192,1015.956188
2015,931681.2915,1372.006465,928992.2083,931681.2915,934370.3748,0.010052985,1.05E-05,0.010032364,0.010052985,0.010073605,9.316812915,9.289922083,9.343703748,1005.298474,1003.23641,1007.360539
2016,990608.6653,1416.202362,987832.9597,990608.6653,993384.371,0.010578856,1.08E-05,0.010557769,0.010578856,0.010599943,9.906086653,9.878329597,9.93384371,1057.885587,1055.776852,1059.994322
2017,1051564.908,1461.011858,1048701.377,1051564.908,1054428.439,0.011115833,1.10E-05,0.011094272,0.011115833,0.011137393,10.51564908,10.48701377,10.54428439,1111.583256,1109.427169,1113.739344
2018,1060203.984,1467.291241,1057328.146,1060203.984,1063079.822,0.011096272,1.09E-05,0.011074829,0.011096272,0.011117716,10.60203984,10.57328146,10.63079822,1109.627237,1107.482894,1111.771579
2019,1048046.959,1458.794807,1045187.774,1048046.959,1050906.144,0.010864856,1.08E-05,0.010843741,0.010864856,0.010885972,10.48046959,10.45187774,10.50906144,1086.485648,1084.374054,1088.597241
2020,1077174.72,27389.59001,1023492.11,1077174.72,1130857.33,0.011066267,0.000281183,0.010515159,0.011066267,0.011617375,10.7717472,10.2349211,11.3085733,1106.62667,1051.515887,1161.737454
2021,1092782.393,46615.02059,1001418.632,1092782.393,1184146.155,0.011131664,0.000474726,0.010201218,0.011131664,0.01206211,10.92782393,10.01418632,11.84146155,1113.166373,1020.121782,1206.210964
2022,1107606.121,71414.25795,967636.7478,1107606.121,1247575.495,0.011193194,0.000721616,0.009778852,0.011193194,0.012607536,11.07606121,9.676367478,12.47575495,1119.319407,977.8851739,1260.753641
2023,1121412.938,100629.9935,924181.7746,1121412.938,1318644.101,0.011248027,0.001009286,0.009269863,0.011248027,0.013226191,11.21412938,9.241817746,13.18644101,1124.802745,926.9863452,1322.619144
2024,1134637.552,133787.8823,872418.1209,1134637.552,1396856.983,0.011299585,0.001332319,0.008688287,0.011299585,0.013910884,11.34637552,8.724181209,13.96856983,1129.95854,868.8287253,1391.088355
2025,1147859.073,170709.212,813275.1658,1147859.073,1482442.98,0.011352933,0.001688371,0.008043786,0.011352933,0.014662079,11.47859073,8.132751658,14.8244298,1135.293272,804.3786272,1466.207918
2026,1161011.898,211196.7248,747073.9237,1161011.898,1574949.872,0.011407225,0.002075032,0.007340236,0.011407225,0.015474213,11.61011898,7.470739237,15.74949872,1140.722483,734.0236291,1547.421337
2027,1173570.362,255007.8148,673764.2292,1173570.362,1673376.495,0.011457763,0.002489661,0.006578116,0.011457763,0.016337409,11.73570362,6.737642292,16.73376495,1145.776293,657.811643,1633.740942
2028,1185210.783,301917.0732,593464.193,1185210.783,1776957.372,0.011502066,0.002929983,0.005759405,0.011502066,0.017244727,11.85210783,5.93464193,17.76957372,1150.206603,575.9404724,1724.472733
2029,1196177.879,351850.3222,506563.9197,1196177.879,1885791.839,0.01154343,0.003395431,0.004888507,0.01154343,0.018198354,11.96177879,5.065639197,18.85791839,1154.343022,488.8506818,1819.835362
