Time,mean,sd,0.025Q,0.5Q,0.975Q,mean,sd,0.025Q,0.5Q,0.975Q,case,caselow,caseup,rate,ratelow,rateup
1990,16295917.53,5875.824538,16284400.91,,16307434.14,0.018660634,4.89E-06,1.87E-02,,1.87E-02,162.9591753,162.8440091,163.0743414,1866.063416,1865.105142,1867.02169
1991,16697310.17,5943.602786,16685660.71,,16708959.63,0.018734222,4.84E-06,1.87E-02,,1.87E-02,166.9731017,166.8566071,167.0895963,1873.422216,1872.473052,1874.37138
1992,17102497.79,6009.817679,17090718.55,,17114277.03,0.018808276,4.80E-06,1.88E-02,,1.88E-02,171.0249779,170.9071855,171.1427703,1880.827647,1879.887711,1881.767583
1993,17510151.2,6074.513184,17498245.15,,17522057.24,0.018880826,4.75E-06,1.89E-02,,1.89E-02,175.101512,174.9824515,175.2205724,1888.082619,1887.152001,1889.013236
1994,17917734.64,6137.82411,17905704.5,,17929764.77,0.018948498,4.70E-06,1.89E-02,,1.90E-02,179.1773464,179.057045,179.2976477,1894.849831,1893.928559,1895.771103
1995,18319739.63,6199.226221,18307589.15,,18331890.12,0.019005406,4.65E-06,1.90E-02,,1.90E-02,183.1973963,183.0758915,183.3189012,1900.540552,1899.628694,1901.452409
1996,18750389.52,6264.098108,18738111.89,,18762667.15,0.019086984,4.61E-06,1.91E-02,,1.91E-02,187.5038952,187.3811189,187.6266715,1908.698374,1907.795269,1909.60148
1997,19232192.35,6336.251113,19219773.3,,19244611.4,0.019214898,4.57E-06,1.92E-02,,1.92E-02,192.3219235,192.197733,192.446114,1921.48984,1920.594262,1922.385418
1998,19735840.36,6410.694447,19723275.4,,19748405.32,0.019358664,4.53E-06,1.93E-02,,1.94E-02,197.3584036,197.232754,197.4840532,1935.866416,1934.977853,1936.754979
1999,20239837,6484.248833,20227127.87,,20252546.13,0.019497787,4.50E-06,1.95E-02,,1.95E-02,202.39837,202.2712787,202.5254613,1949.778721,1948.897025,1950.660417
2000,20717448.84,6552.838942,20704605.28,,20730292.41,0.019608109,4.46E-06,1.96E-02,,1.96E-02,207.1744884,207.0460528,207.3029241,1960.810931,1959.936452,1961.685411
2001,21202122.41,6622.290996,21189142.72,,21215102.11,0.019722903,4.43E-06,1.97E-02,,1.97E-02,212.0212241,211.8914272,212.1510211,1972.290285,1971.422511,1973.158059
2002,21729766.96,6697.17922,21716640.49,,21742893.43,0.01987508,4.40E-06,1.99E-02,,1.99E-02,217.2976696,217.1664049,217.4289343,1987.508037,1986.645998,1988.370076
2003,22289350.24,6776.144422,22276068.99,,22302631.48,0.020052979,4.37E-06,2.00E-02,,2.01E-02,222.8935024,222.7606899,223.0263148,2005.297894,2004.440777,2006.15501
2004,22863416.3,6856.839135,22849976.9,,22876855.71,0.020239856,4.35E-06,2.02E-02,,2.02E-02,228.634163,228.499769,228.7685571,2023.985601,2023.132882,2024.838321
2005,23419667.97,6934.2826,23406076.77,,23433259.16,0.020407342,4.33E-06,2.04E-02,,2.04E-02,234.1966797,234.0607677,234.3325916,2040.73418,2039.885979,2041.582381
2006,23956659.69,7008.295658,23942923.43,,23970395.95,0.020555076,4.30E-06,2.05E-02,,2.06E-02,239.5665969,239.4292343,239.7039595,2055.507634,2054.664105,2056.351164
2007,24489272.41,7081.451678,24475392.77,,24503152.06,0.020697326,4.28E-06,2.07E-02,,2.07E-02,244.8927241,244.7539277,245.0315206,2069.732622,2068.893543,2070.571702
2008,24996638.13,7149.804477,24982624.51,,25010651.74,0.020818912,4.26E-06,2.08E-02,,2.08E-02,249.9663813,249.8262451,250.1065174,2081.891201,2081.056858,2082.725544
