"","mean","sd","mean","sd"
"1990",16295917.5288885,5875.82453796296,0.0186606341619461,4.88915409965047e-06
"1991",16697310.1719427,5943.60278645364,0.0187342221604713,4.84267288180448e-06
"1992",17102497.788778,6009.81767894625,0.0188082764679355,4.79559294347128e-06
"1993",17510151.1975886,6074.5131842643,0.0188808261853726,4.74804762355367e-06
"1994",17917734.6372167,6137.82411035814,0.0189484983072777,4.70036803964598e-06
"1995",18319739.6322774,6199.22622134853,0.0190054055152904,4.65233598528137e-06
"1996",18750389.5192229,6264.09810788694,0.019086983743976,4.60768168305844e-06
"1997",19232192.348107,6336.25111319459,0.0192148984015285,4.56927640041854e-06
"1998",19735840.3588134,6410.69444710244,0.0193586641607915,4.53348526440561e-06
"1999",20239836.9986652,6484.24883325014,0.0194977872103544,4.49844892390118e-06
"2000",20717448.844657,6552.83894162929,0.0196081093149214,4.46162898071733e-06
"2001",21202122.4148911,6622.29099589047,0.0197229028473844,4.42741952151619e-06
"2002",21729766.9622688,6697.17922032331,0.0198750803706782,4.39815650382721e-06
"2003",22289350.2360563,6776.14442162568,0.0200529789381968,4.37304337900231e-06
"2004",22863416.302827,6856.83913457098,0.0202398560148422,4.35061122793638e-06
"2005",23419667.9688204,6934.28260042965,0.0204073417971074,4.32755709780426e-06
"2006",23956659.6884134,7008.29565779658,0.0205550763431618,4.30372240139972e-06
"2007",24489272.4111802,7081.45167839201,0.0206973262227886,4.28101846543926e-06
"2008",24996638.1259354,7149.80447737032,0.0208189120081592,4.25685149844034e-06
"2009",25460784.1148705,7210.14104724786,0.0209084634620054,4.22942086726474e-06
"2010",25860407.5522004,7259.19393236387,0.0209517963389678,4.19701629765929e-06
"2011",26170238.5355136,7295.40269242593,0.0209313692623837,4.16001561442688e-06
"2012",26384886.6795147,7317.22206720882,0.0208447610281706,4.11700506089208e-06
"2013",26550467.6420489,7331.91711595968,0.0207289151786934,4.07231218770865e-06
"2014",26715464.9036309,7347.0602827784,0.0206201366682355,4.03015950522687e-06
"2015",26928562.6115091,7369.70212173904,0.0205537636506556,3.99416688538059e-06
"2016",27306827.6599121,7415.4879956067,0.0206164379209951,3.97233705029547e-06
"2017",27687403.0019769,7462.426845354,0.0206826647300624,3.95281488448752e-06
"2018",27897026.5708343,7486.59378414063,0.0206240976801065,3.92258289257194e-06
"2019",27993886.3123236,7496.08578984697,0.0204870627517838,3.88616429994075e-06
"2020",28248876.6807266,502845.31009959,0.0204701354486831,0.00036435914678804
"2021",28474886.8497296,672884.464133689,0.0204354114085391,0.000482890012223559
"2022",28699605.6299306,895931.445940541,0.0204030692449786,0.00063692249902819
"2023",28920295.0191699,1164205.92743574,0.0203713428418141,0.000820053358539242
"2024",29137834.6084906,1474651.43550855,0.020341165778759,0.00102944946856982
"2025",29354797.8752975,1825958.64067409,0.0203145756539297,0.0012636234734696
"2026",29570743.2728098,2214182.61944013,0.0202913358366699,0.00151935942979685
"2027",29783132.7160567,2637368.41102023,0.0202697550079797,0.00179493197092795
"2028",29989698.4601935,3094917.65383839,0.0202484882053885,0.00208962772966022
"2029",30190671.5097974,3587192.54738428,0.0202279266041214,0.00240343718152165
"2030",30387769.5483108,4114647.98748495,0.0202094401059719,0.00273645149578869
"2031",30581864.8916339,4676024.50557001,0.0201936849122766,0.00308765014191755
"2032",30771060.7964797,5270408.67709117,0.0201795705527254,0.00345631648956408
"2033",30952625.741848,5897163.49608908,0.0201657069144214,0.0038420138814129
"2034",31125135.5647753,6555942.22985904,0.02015166168718,0.00424457852546947
"2035",31288310.7020457,7246279.57633371,0.0201376270999192,0.00466381307332285
