"","mean","sd","0.025Q","0.5Q","0.975Q","mean","sd","0.025Q","0.5Q","0.975Q"
"1990",28753.670958788,243.33334786603,28276.746360733,28753.670958788,29230.5955568429,0.00954330446217416,5.79231578969603e-05,0.00942977715882529,0.00954330446217416,0.00965683176552303
"1991",29412.1728571539,243.93689588138,28934.0653267259,29412.1728571539,29890.2803875819,0.00948429768406558,5.59385328645878e-05,0.00937466017430298,0.00948429768406558,0.00959393519382818
"1992",30161.2578194323,246.969111079024,29677.2072564235,30161.2578194323,30645.308382441,0.00942644765240369,5.48785804052447e-05,0.00931888761128673,0.00942644765240369,0.00953400769352066
"1993",30817.126618442,249.736343797577,30327.652378968,30817.126618442,31306.6008579159,0.0093221360325204,5.37317082138309e-05,0.00921682381959348,0.0093221360325204,0.00942744824544733
"1994",31666.6340419051,253.386600481209,31170.0054307968,31666.6340419051,32163.2626530133,0.00927090340808667,5.28100383932094e-05,0.0091673976348138,0.00927090340808667,0.00937440918135954
"1995",32488.5109132759,256.863071283795,31985.0685446013,32488.5109132759,32991.9532819505,0.0092140790187523,5.19015729535476e-05,0.00911235380502237,0.0092140790187523,0.00931580423248223
"1996",33398.0534047518,260.444379185467,32887.5918015724,33398.0534047518,33908.5150079312,0.00917988690620379,5.10040898975416e-05,0.00907992072694037,0.00917988690620379,0.00927985308546722
"1997",33996.0743554713,263.009935882091,33480.5843535662,33996.0743554713,34511.5643573764,0.00906047106443547,4.99871663024587e-05,0.00896249801879344,0.00906047106443547,0.00915844411007751
"1998",34592.2478049421,265.655091182351,34071.573393915,34592.2478049421,35112.9222159693,0.00896004860360076,4.91320011065007e-05,0.00886375165094364,0.00896004860360076,0.00905634555625789
"1999",34562.0455553511,266.037013599254,34040.622590142,34562.0455553511,35083.4685205603,0.00873939546366023,4.81191653700546e-05,0.0086450836325688,0.00873939546366023,0.00883370729475166
"2000",35207.6994678998,269.153498984578,34680.1683035771,35207.6994678998,35735.2306322225,0.00873884786309911,4.78958071037774e-05,0.00864497380616523,0.00873884786309911,0.00883272192003299
"2001",37583.3791096378,278.26747452103,37037.9848815076,37583.3791096378,38128.7733377679,0.00921805160703868,4.89614474955251e-05,0.0091220889333165,0.00921805160703868,0.00931401428076086
"2002",41249.0992117175,291.658378781586,40677.4592935163,41249.0992117175,41820.7391299188,0.0100499534309628,5.09992182998504e-05,0.00994999679985535,0.0100499534309628,0.0101499100620702
"2003",44637.4256279029,303.555960938016,44042.466877172,44637.4256279029,45232.3843786339,0.0108101166702395,5.27859391542902e-05,0.0107066581306069,0.0108101166702395,0.010913575209872
"2004",48574.7675694827,316.866314082687,47953.7210059667,48574.7675694827,49195.8141329987,0.0116285416816047,5.45008160156859e-05,0.011521722045086,0.0116285416816047,0.0117353613181235
"2005",51258.6494603886,325.804396171535,50620.0845778876,51258.6494603886,51897.2143428896,0.0120164881674299,5.49232775535283e-05,0.0119088405215121,0.0120164881674299,0.0121241358133477
"2006",52162.6918312859,329.053949710672,51517.7579408823,52162.6918312859,52807.6257216895,0.0118488988614391,5.38087466442886e-05,0.011743435655963,0.0118488988614391,0.0119543620669151
"2007",52719.1505310296,331.741565288805,52068.9490108886,52719.1505310296,53369.3520511706,0.0115141782684357,5.22959521150537e-05,0.011411680085753,0.0115141782684357,0.0116166764511185
