"","mean","sd","0.025Q","0.5Q","0.975Q","mean","sd","0.025Q","0.5Q","0.975Q"
"1990",118307.204968329,488.836312106573,117349.103402265,118307.204968329,119265.306534393,0.00682839560935674,2.00483144603027e-05,0.00678910163506381,0.00682839560935674,0.00686768958364967
"1991",116718.719850116,481.875860017045,115774.260519463,116718.719850116,117663.179180769,0.00665605061996363,1.93793882845904e-05,0.00661806771688342,0.00665605061996363,0.00669403352304385
"1992",116058.738420089,480.058829976888,115117.840402874,116058.738420089,116999.636437305,0.00654337658139697,1.90692141420096e-05,0.00650600160846514,0.00654337658139697,0.00658075155432879
"1993",116193.93134816,480.054652783651,115253.041518093,116193.93134816,117134.821178227,0.00648229025296367,1.88577276474223e-05,0.00644532978594446,0.00648229025296367,0.00651925071998288
"1994",116915.707513653,481.32799301263,115972.321982598,116915.707513653,117859.093044709,0.00646140404598959,1.87219493265042e-05,0.00642470969958925,0.00646140404598959,0.00649809839238992
"1995",117960.237582002,483.290527765389,117013.005553513,117960.237582002,118907.469610492,0.00646608421131348,1.86381358512291e-05,0.00642955413630611,0.00646608421131348,0.00650261428632085
"1996",120374.923790522,487.938022949972,119418.582838852,120374.923790522,121331.264742192,0.00655376616749243,1.86792311521181e-05,0.00651715554717538,0.00655376616749243,0.00659037678780948
"1997",124769.169235682,496.531207095294,123795.985952575,124769.169235682,125742.352518789,0.00675490579779001,1.88924997391975e-05,0.00671787717872325,0.00675490579779001,0.00679193441685677
"1998",130306.879705197,507.355590241423,129312.481020969,130306.879705197,131301.278389426,0.00701910705324826,1.9204018062668e-05,0.00698146786948698,0.00701910705324826,0.00705674623700955
"1999",136048.749931067,518.506706122752,135032.495461324,136048.749931067,137065.00440081,0.0072896433620298,1.95259200279255e-05,0.00725137326201006,0.0072896433620298,0.00732791346204954
"2000",140961.789491647,528.015081629248,139926.89894836,140961.789491647,141996.680034935,0.00750690953317731,1.97717210670588e-05,0.0074681576719735,0.00750690953317731,0.00754566139438111
"2001",144773.509938294,535.072100157136,143724.787892854,144773.509938294,145822.231983734,0.00765522418646874,1.98925739141957e-05,0.00761623545803711,0.00765522418646874,0.00769421291490036
"2002",148418.240746041,541.810839883516,147356.311013436,148418.240746041,149480.170478646,0.00778588472693898,1.99855159594007e-05,0.0077467138354461,0.00778588472693898,0.00782505561843185
"2003",152208.083792998,548.838348925077,151132.38039577,152208.083792998,153283.787190226,0.00791759252807256,2.00803407138894e-05,0.00787823578347605,0.00791759252807256,0.00795694927266908
"2004",156315.647369379,556.426345233079,155225.071772673,156315.647369379,157406.222966085,0.00806284694660318,2.01952592892513e-05,0.0080232649657378,0.00806284694660318,0.00810242892746856
