"","mean","sd","0.025Q","0.5Q","0.975Q","mean","sd","0.025Q","0.5Q","0.975Q"
"1990",786725.871196439,1273.31376042878,784230.222084979,786725.871196439,789221.520307898,0.0139100241315412,1.61526646961598e-05,0.0138783654904824,0.0139100241315412,0.0139416827726001
"1991",784412.387581052,1268.21971922276,781926.722606891,784412.387581052,786898.052555212,0.0137057228855461,1.58603550356572e-05,0.0136746371608942,0.0137057228855461,0.013736808610198
"1992",778736.492278121,1261.56987781965,776263.860753614,778736.492278121,781209.123802628,0.0134703802999189,1.55950608092598e-05,0.0134398145423961,0.0134703802999189,0.0135009460574418
"1993",770333.086659498,1252.87427271614,767877.498207817,770333.086659498,772788.675111178,0.0132047050657813,1.53257449092533e-05,0.0131746671577229,0.0132047050657813,0.0132347429738397
"1994",760223.057152146,1242.94827075187,757786.923306826,760223.057152146,762659.190997466,0.0129124332268876,1.50458990413278e-05,0.0128829438066516,0.0129124332268876,0.0129419226471237
"1995",749697.689963175,1232.84382680598,747281.360464073,749697.689963175,752114.019462277,0.0126068956040757,1.47579315675334e-05,0.012577970589717,0.0126068956040757,0.0126358206184344
"1996",726367.192647519,1211.6997407495,723992.304795573,726367.192647519,728742.080499464,0.0120799084893548,1.43240293392761e-05,0.0120518339077363,0.0120799084893548,0.0121079830709733
"1997",686198.031780569,1176.53017414282,683892.075012524,686198.031780569,688503.988548613,0.0112775104461169,1.37309101962557e-05,0.0112505983566572,0.0112775104461169,0.0113044225355765
"1998",642146.616944026,1137.8248691879,639916.521179704,642146.616944026,644376.712708348,0.0104269796698079,1.31163860875784e-05,0.0104012720254689,0.0104269796698079,0.0104526873141469
"1999",607170.883061602,1106.88866651587,605001.421140335,607170.883061602,609340.344982869,0.00974614494052989,1.26190680562785e-05,0.00972141202162112,0.00974614494052989,0.00977087785943865
"2000",594478.152109469,1096.17545479074,592329.687697342,594478.152109469,596626.616521595,0.00944326022789082,1.2377251472145e-05,0.00941900126077782,0.00944326022789082,0.00946751919500382
"2001",598459.333631622,1100.00804679006,596303.357477209,598459.333631622,600615.309786034,0.00941874351296612,1.23077108000993e-05,0.00939462084306579,0.00941874351296612,0.00944286618286645
"2002",605967.36182188,1107.25122351565,603797.189301952,605967.36182188,608137.534341809,0.00945802934687838,1.22902451577662e-05,0.00943394090900799,0.00945802934687838,0.00948211778474877
"2003",615396.0207219,1116.36940049672,613207.976903484,615396.0207219,617584.064540316,0.00953365280709099,1.23049433172904e-05,0.0095095355613573,0.00953365280709099,0.00955777005282469
"2004",625149.111491366,1125.89151283958,622942.404675701,625149.111491366,627355.818307031,0.00961837367680809,1.23324313944624e-05,0.00959420255543313,0.00961837367680809,0.00964254479818305
"2005",633505.83281003,1134.30139268301,631282.642932758,633505.83281003,635729.022687303,0.00968423631052598,1.23542346450447e-05,0.00966002245556514,0.00968423631052598,0.00970845016548682
"2006",654162.832252081,1153.66682561204,651901.686823723,654162.832252081,656423.97768044,0.00993979008031116,1.2500186399827e-05,0.00991529016516746,0.00993979008031116,0.00996428999545486
"2007",691491.328353006,1187.75085266357,689163.379459178,691491.328353006,693819.277246833,0.0104483191753132,1.28145357328575e-05,0.0104232031467982,0.0104483191753132,0.0104734352038282
"2008",714223.876256792,1208.96037919591,711854.357454832,714223.876256792,716593.395058751,0.0107352075117004,1.29939559004252e-05,0.0107097398261189,0.0107352075117004,0.010760675197282
"2009",714475.461212653,1210.83503144199,712102.268159807,714475.461212653,716848.654265499,0.0106850499488678,1.29656984881397e-05,0.0106596376467967,0.0106850499488678,0.010710462250939
"2010",715545.193856813,1213.61477931494,713166.55259825,715545.193856813,717923.835115376,0.0106487812053845,1.29509401832027e-05,0.0106233978290595,0.0106487812053845,0.0106741645817096
"2011",714299.175391288,1213.4704389765,711920.81703459,714299.175391288,716677.533747986,0.010579329450301,1.28965375827274e-05,0.0105540527011136,0.010579329450301,0.0106046061994885
"2012",706511.768245327,1208.12981473771,704143.877319792,706511.768245327,708879.659170862,0.0104150022275841,1.27925302539943e-05,0.0103899293290151,0.0104150022275841,0.0104400751261531
"2013",695371.214346364,1200.32491961094,693018.62073418,695371.214346364,697723.807958547,0.0102043601532555,1.26696990140141e-05,0.0101795279994931,0.0102043601532555,0.010229192307018
"2014",684847.385474362,1193.36782147546,682508.427523962,684847.385474362,687186.343424763,0.0100067199574481,1.25632568275866e-05,0.00998209642653752,0.0100067199574481,0.0100313434883587
"2015",679548.284501571,1191.17593468478,677213.622570338,679548.284501571,681882.946432804,0.00988944249906736,1.25134500157818e-05,0.00986491658771408,0.00988944249906736,0.00991396841042063
"2016",686555.349963532,1202.62962965047,684198.239202676,686555.349963532,688912.460724387,0.00995421603708678,1.26377710616761e-05,0.00992944646096103,0.00995421603708678,0.00997898561321252
"2017",698430.605912172,1218.87213090228,696041.660433844,698430.605912172,700819.5513905,0.0100914962094492,1.28197628280973e-05,0.0100663699360158,0.0100914962094492,0.0101166224828826
"2018",713655.403135314,1236.02741329382,711232.833921354,713655.403135314,716077.972349274,0.0102790046734342,1.29958177841016e-05,0.0102535333386278,0.0102790046734342,0.0103044760082407
"2019",737841.399418158,1261.55738269081,735368.792383654,737841.399418158,740314.006452663,0.0105972745766841,1.3270282044887e-05,0.0105712653018114,0.0105972745766841,0.0106232838515567
"2020",724950.962132358,26072.0117616648,673850.75807499,724950.962132358,776051.166189726,0.0103861202095559,0.000373325406989439,0.00965441585734285,0.0103861202095559,0.011117824561769
"2021",744059.280519265,43332.4538589728,659129.231593934,744059.280519265,828989.329444595,0.0106368878196704,0.000619347316733522,0.00942298938495118,0.0106368878196704,0.0118507862543896
"2022",764135.151825875,66210.5095840847,634364.937643025,764135.151825875,893905.366008725,0.010904035400937,0.000944726615760933,0.0090524052588092,0.010904035400937,0.0127556655430649
"2023",784978.048192581,93924.8562759685,600888.712638582,784978.048192581,969067.38374658,0.0111847592833937,0.00133822872012404,0.00856187918887343,0.0111847592833937,0.0138076393779139
"2024",806572.224064179,126261.953393073,559103.342796081,806572.224064179,1054041.10533228,0.0114788302937273,0.00179686682478249,0.00795703603213874,0.0114788302937273,0.0150006245553158
"2025",829148.674572991,163275.117031442,509135.325619803,829148.674572991,1149162.02352618,0.0117895814850848,0.00232155633895397,0.00723941467265441,0.0117895814850848,0.0163397482975153
"2026",853053.169126985,205121.389449198,451022.633347742,853053.169126985,1255083.70490623,0.0121221159724159,0.00291480080565508,0.00640921137122361,0.0121221159724159,0.0178350205736082
