"","mean","sd","0.025Q","0.5Q","0.975Q","mean","sd","0.025Q","0.5Q","0.975Q"
"1990",401835.740371621,968.294677810462,399937.917676691,401835.740371621,403733.563066552,0.00649219877518424,1.18257289562854e-05,0.00646902077233899,0.00649219877518424,0.00651537677802949
"1991",416038.147094334,976.472043370153,414124.297057419,416038.147094334,417951.99713125,0.00655645034640547,1.15533650714155e-05,0.00653380616696525,0.00655645034640547,0.00657909452584568
"1992",431426.315786794,990.149527473572,429485.658373636,431426.315786794,433366.973199952,0.00663527365445803,1.1395317284717e-05,0.00661293924298757,0.00663527365445803,0.00665760806592848
"1993",447931.738742708,1005.91886371909,445960.17399845,447931.738742708,449903.303486967,0.0067263174530616,1.12767088502605e-05,0.00670421550985094,0.0067263174530616,0.00674841939627225
"1994",465390.7764879,1023.47417805962,463384.803959797,465390.7764879,467396.749016004,0.00682582871570558,1.11902458542825e-05,0.00680389623685304,0.00682582871570558,0.00684776119455813
"1995",483608.211857553,1042.78405961931,481564.392657047,483608.211857553,485652.031058059,0.00693006432623462,1.11349095831145e-05,0.0069082403044806,0.00693006432623462,0.00695188834798863
"1996",501381.228913083,1057.08070450091,499309.388803509,501381.228913083,503453.069022657,0.00702197464441565,1.09924645559742e-05,0.00700042980978461,0.00702197464441565,0.0070435194790467
"1997",520866.751736323,1074.23310299463,518761.293543452,520866.751736323,522972.209929193,0.00713214408574108,1.08951461784416e-05,0.00711078999162504,0.00713214408574108,0.00715349817985713
"1998",542358.006312031,1094.28246670757,540213.252088371,542358.006312031,544502.760535692,0.00726320362308762,1.08391362281469e-05,0.00724195930645693,0.00726320362308762,0.00728444793971831
"1999",565993.876418537,1116.97266511101,563804.650223204,565993.876418537,568183.102613871,0.0074154864364574,1.08169183968253e-05,0.00739428566597591,0.0074154864364574,0.00743668720693888
"2000",591981.150155677,1142.43194179085,589742.024694978,591981.150155677,594220.275616375,0.00759030406451385,1.08279864680942e-05,0.0075690816010113,0.00759030406451385,0.0076115265280164
"2001",626864.552050132,1171.80205213557,624567.862230936,626864.552050132,629161.241869328,0.00786798015332085,1.08425969825116e-05,0.00784672905373625,0.00786798015332085,0.00788923125290546
"2002",676934.888823806,1215.09972345752,674553.337128205,676934.888823806,679316.440519407,0.00831970411971652,1.09895277654629e-05,0.00829816504108911,0.00831970411971652,0.00834124319834393
"2003",737310.864871234,1266.62924914518,734828.317161145,737310.864871234,739793.412581324,0.00887770470551432,1.12116446731957e-05,0.0088557302857474,0.00887770470551432,0.00889967912528124
"2004",802262.787338279,1320.46045456784,799674.732404317,802262.787338279,804850.842272241,0.00947063670537022,1.14535150406426e-05,0.00944818822839417,0.00947063670537022,0.00949308518234626
"2005",865205.067276983,1370.95945291811,862518.036124999,865205.067276983,867892.098428968,0.0100225025094277,1.1666635556737e-05,0.00999963632391572,0.0100225025094277,0.0100453686949396
"2006",938879.435791097,1421.32018823785,936093.699411651,938879.435791097,941665.172170543,0.0106825985918106,1.18313551029206e-05,0.0106594095619205,0.0106825985918106,0.0107057876217006
"2007",1035987.92458733,1487.39869979004,1033072.67670509,1035987.92458733,1038903.17246957,0.0115875212728827,1.21312977348033e-05,0.0115637443662367,0.0115875212728827,0.0116112981795286
"2008",1138333.27743976,1554.04328529662,1135287.40857016,1138333.27743976,1141379.14630936,0.0125226473640528,1.24300845607365e-05,0.0124982848459889,0.0125226473640528,0.0125470098821166
"2009",1227316.87213144,1608.66892054582,1224163.93898412,1227316.87213144,1230469.80527876,0.0132806147764674,1.26214880455503e-05,0.0132558771144669,0.0132806147764674,0.013305352438468
"2010",1284439.93078814,1641.06287012722,1281223.50666632,1284439.93078814,1287656.35490995,0.0136690847138936,1.26306816049745e-05,0.0136443290328476,0.0136690847138936,0.0136938403949395
"2011",1315264.69824697,1655.09592247685,1312020.76984795,1315264.69824697,1318508.62664598,0.0137623105984488,1.24866244973515e-05,0.0137378372641455,0.0137623105984488,0.013786783932752
"2012",1339701.78412626,1665.51664605442,1336437.43148434,1339701.78412626,1342966.13676818,0.0137811481912991,1.23193778265569e-05,0.0137570026544471,0.0137811481912991,0.0138052937281511
"2013",1361557.28889904,1675.02643292478,1358274.29741735,1361557.28889904,1364840.28038072,0.0137709703016821,1.21544613271993e-05,0.0137471479952293,0.0137709703016821,0.0137947926081349
"2014",1384812.53333115,1686.0783148378,1381507.88055896,1384812.53333115,1388117.18610335,0.0137774282513056,1.20133191912052e-05,0.0137538825783561,0.0137774282513056,0.0138009739242552
"2015",1413675.03410289,1701.25262809641,1410340.64022321,1413675.03410289,1417009.42798256,0.0138441940027119,1.19161189509724e-05,0.0138208388387325,0.0138441940027119,0.0138675491666913
"2016",1481244.30810613,1740.03734493902,1477833.89757829,1481244.30810613,1484654.71863396,0.014288923777047,1.19962573190098e-05,0.0142654115447525,0.014288923777047,0.0143124360093415
"2017",1561359.46817347,1784.67119994439,1557861.57689733,1561359.46817347,1564857.3594496,0.0148456413811447,1.21156820028229e-05,0.0148218950807711,0.0148456413811447,0.0148693876815184
"2018",1655966.14619028,1833.00783183243,1652373.51685651,1655966.14619028,1659558.77552405,0.0155269057823124,1.22394551881291e-05,0.0155029168909533,0.0155269057823124,0.0155508946736715
"2019",1796436.05784198,1903.93772076749,1792704.40848047,1796436.05784198,1800167.70720349,0.0166157249885405,1.25072000219959e-05,0.0165912113269499,0.0166157249885405,0.016640238650131
"2020",1820288.63963988,58041.493019297,1706529.40371313,1820288.63963988,1934047.87556664,0.016611339809602,0.000529523959131508,0.0155734919207532,0.016611339809602,0.0176491876984508
"2021",1916486.25001327,97789.6234185113,1724822.11005125,1916486.25001327,2108150.38997529,0.0172583482963486,0.000880527192524901,0.0155325467115916,0.0172583482963486,0.0189841498811055
"2022",2017320.6831549,152320.522988752,1718777.94399064,2017320.6831549,2315863.42231915,0.0179303064157325,0.00135379314605405,0.0152769206069494,0.0179303064157325,0.0205836922245157
"2023",2122688.80134113,220710.263618089,1690104.63363134,2122688.80134113,2555272.96905093,0.0186259422525454,0.00193662257665415,0.0148302317506561,0.0186259422525454,0.0224216527544347
