"","mean","sd","0.025Q","0.5Q","0.975Q","mean","sd","0.025Q","0.5Q","0.975Q"
"1990",123781.042710724,516.166651887584,122769.374663003,123781.042710724,124792.710758444,0.00654736313019948,1.99776116694904e-05,0.00650820773083015,0.00654736313019948,0.00658651852956881
"1991",126948.275321516,508.398931510245,125951.831725977,126948.275321516,127944.718917055,0.00654186885523708,1.86884338206758e-05,0.00650524019802109,0.00654186885523708,0.00657849751245306
"1992",130406.901350365,513.910555706244,129399.655169906,130406.901350365,131414.147530824,0.00654051536284574,1.83388662100634e-05,0.00650457184555672,0.00654051536284574,0.00657645888013476
"1993",134157.363827507,520.966161755494,133136.288913302,134157.363827507,135178.438741712,0.00654746415856707,1.80805744241437e-05,0.00651202688387595,0.00654746415856707,0.00658290143325819
"1994",138154.639164315,528.623029716234,137118.557064673,138154.639164315,139190.721263958,0.00656600457824143,1.78643754427402e-05,0.00653099104576735,0.00656600457824143,0.0066010181107155
"1995",142357.068767172,536.848728398825,141304.864594364,142357.068767172,143409.272939979,0.00659791344649502,1.77002757450642e-05,0.00656322154351827,0.00659791344649502,0.00663260534947177
"1996",146940.519844093,545.233395637641,145871.882025475,146940.519844093,148009.157662712,0.00665179621601744,1.75522622751746e-05,0.0066173944141109,0.00665179621601744,0.00668619801792399
"1997",152062.669355492,554.685580380194,150975.505595204,152062.669355492,153149.833115781,0.0067329734103799,1.74665776279599e-05,0.00669873954729593,0.0067329734103799,0.00676720727346387
"1998",157597.760154974,564.94993599438,156490.478627357,157597.760154974,158705.041682591,0.00683487789551179,1.74325926682149e-05,0.00680071064172493,0.00683487789551179,0.00686904514929865
"1999",163337.206718387,575.506240881069,162209.235213382,163337.206718387,164465.178223392,0.0069475715949793,1.74274860945576e-05,0.0069134143498929,0.0069475715949793,0.00698172884006571
"2000",169043.819652659,585.881834893491,167895.512357072,169043.819652659,170192.126948247,0.00706082121178562,1.74340013679668e-05,0.00702665119699798,0.00706082121178562,0.00709499122657325
"2001",174818.818109225,595.071309351706,173652.499774663,174818.818109225,175985.136443787,0.0071802688930398,1.73912912400079e-05,0.00714618258856474,0.0071802688930398,0.00721435519751487
"2002",180932.008041207,604.634222318423,179746.946741642,180932.008041207,182117.069340771,0.00731759088157353,1.73791289898064e-05,0.00728352841467084,0.00731759088157353,0.00735165334847623
"2003",187250.803881151,614.491745372605,186046.422191423,187250.803881151,188455.185570878,0.00746587854497732,1.73953380576219e-05,0.00743178430888548,0.00746587854497732,0.00749997278106915
"2004",193618.537033364,624.482346778888,192394.574124697,193618.537033364,194842.499942032,0.00761697824901429,1.74325902280038e-05,0.00758281100001016,0.00761697824901429,0.00765114549801843
"2005",199798.980674701,634.266891747097,198555.84041029,199798.980674701,201042.120939111,0.00776084137096081,1.74792678162941e-05,0.00772658263556474,0.00776084137096081,0.00779510010635688
"2006",206317.477244738,643.540444041273,205056.161151822,206317.477244738,207578.793337654,0.00791498655907971,1.74889994961558e-05,0.00788070874994161,0.00791498655907971,0.00794926436821782
"2007",214010.497344027,654.851992761621,212727.01102301,214010.497344027,215293.983665044,0.00811180895398303,1.75679317505562e-05,0.00807737644046908,0.00811180895398303,0.00814624146749698
"2008",221853.33249746,666.452787087727,220547.109037372,221853.33249746,223159.555957548,0.00831952669513426,1.76810576570546e-05,0.00828487245891786,0.00831952669513426,0.00835418093135066
"2009",228653.456065108,676.35920751588,227327.816377765,228653.456065108,229979.095752452,0.00850533570404529,1.77930171508133e-05,0.0084704620312534,0.00850533570404529,0.00854020937683719
"2010",233197.204301113,682.710853851634,231859.115615709,233197.204301113,234535.292986517,0.00863271081812363,1.78651107419904e-05,0.00859769584448951,0.00863271081812363,0.00866772579175775
"2011",235492.453204617,685.412921686698,234149.068563573,235492.453204617,236835.837845661,0.00870864750941773,1.79002212304465e-05,0.00867356372049075,0.00870864750941773,0.0087437312983447
"2012",236597.616671089,686.680036712217,235251.748530231,236597.616671089,237943.484811948,0.00876639423646713,1.79589767013474e-05,0.00873119528893329,0.00876639423646713,0.00880159318400096
"2013",237107.520247671,687.390606267628,235760.259416075,237107.520247671,238454.781079266,0.00880890612153752,1.80251271747149e-05,0.00877357752145833,0.00880890612153752,0.00884423472161672
"2014",237528.982992507,688.273656889923,236179.991413495,237528.982992507,238877.974571519,0.00882811052919409,1.80627311156131e-05,0.00879270822674506,0.00882811052919409,0.00886351283164312
"2015",238243.831858958,689.834326764255,236891.7814232,238243.831858958,239595.882294715,0.0088189354371308,1.80444192002969e-05,0.00878356902537627,0.0088189354371308,0.00885430184888532
"2016",234126.553601669,682.024701364302,232789.809750428,234126.553601669,235463.29745291,0.00858756780059108,1.76300996440398e-05,0.00855301344024491,0.00858756780059108,0.00862212216093725
"2017",230204.721057863,674.887534052292,228881.965797505,230204.721057863,231527.47631822,0.00833088590741437,1.71762027678105e-05,0.0082972211685983,0.00833088590741437,0.00836455064623043
"2018",230918.587629679,675.280842710827,229595.061498516,230918.587629679,232242.113760842,0.00821899753349119,1.6886274362e-05,0.00818590104390861,0.00821899753349119,0.00825209402307378
"2019",232927.603355685,684.802663312749,231585.414799075,232927.603355685,234269.791912295,0.00814184081164375,1.69817549428483e-05,0.00810855718356149,0.00814184081164375,0.00817512443972602
"2020",233442.242705225,3502.98687445448,226576.514592978,233442.242705225,240307.970817473,0.00801193606057415,0.000119076407416091,0.00777855059063019,0.00801193606057415,0.0082453215305181
"2021",234102.199715872,5447.28428048569,223425.718712569,234102.199715872,244778.680719175,0.00788889067656702,0.000182839709663999,0.00753053143068182,0.00788889067656702,0.00824724992245221
"2022",234903.445687946,7934.41148974363,219352.284929528,234903.445687946,250454.606446364,0.00777167676902377,0.00026201629765867,0.00725813426225025,0.00777167676902377,0.00828521927579729
"2023",235783.538255243,10844.4176315977,214528.870264,235783.538255243,257038.206246485,0.00766284589351309,0.000352084609672322,0.00697277273904449,0.00766284589351309,0.00835291904798168
"2024",236534.483565117,14119.2752651985,208861.21255752,236534.483565117,264207.754572713,0.00756047002215603,0.000451033643092134,0.00667646032587956,0.00756047002215603,0.00844447971843251
"2025",236958.102367111,17717.5088721564,202232.423081916,236958.102367111,271683.781652306,0.00746149768556982,0.000557690346088103,0.00636844469271146,0.00746149768556982,0.00855455067842818
"2026",236960.139812973,21578.0463149175,194667.946178998,236960.139812973,279252.333446949,0.00736465663747596,0.000670469131926681,0.00605056128615383,0.00736465663747596,0.00867875198879809
"2027",236656.570241678,25669.2055355969,186345.851880152,236656.570241678,286967.288603204,0.00727297053926905,0.00078872877243297,0.00572709055172994,0.00727297053926905,0.00881885052680816
"2028",236187.00312329,29979.5334596538,177428.197269055,236187.00312329,294945.808977525,0.00718868512728311,0.000912349555122439,0.00540051285793199,0.00718868512728311,0.00897685739663423
"2029",235607.254941874,34504.7608798559,167979.16632219,235607.254941874,303235.343561559,0.00711036883908226,0.00104121284261382,0.00506962916731861,0.00711036883908226,0.00915110851084591
"2030",234913.076668694,39238.4548864431,158007.118282266,234913.076668694,311819.035055122,0.0070355287803655,0.00117508238189007,0.00473240963299342,0.0070355287803655,0.00933864792773759
"2031",234075.039700735,44150.8614776007,147540.941318221,234075.039700735,320609.138083249,0.00696296937494975,0.00131326534586845,0.00438901659490306,0.00696296937494975,0.00953692215499644
"2032",233159.360874885,49233.2610995759,136663.942278259,233159.360874885,329654.77947151,0.00689481646758755,0.00145581962245203,0.00404146243959487,0.00689481646758755,0.00974817049558023
"2033",232255.670250139,54493.5586639236,125450.257879428,232255.670250139,339061.08262085,0.00683244475232187,0.00160301648629172,0.00369059017256615,0.00683244475232187,0.0099742993320776
