"","mean","sd","0.025Q","0.5Q","0.975Q","mean","sd","0.025Q","0.5Q","0.975Q"
"1990",261849.622776876,749.93427160923,260379.77861375,261849.622776876,263319.466940002,0.00633478727076011,1.32629380613198e-05,0.00630879238983074,0.00633478727076011,0.00636078215168948
"1991",261984.868320082,737.479038409928,260539.435965445,261984.868320082,263430.300674718,0.00625408611925392,1.26744126060268e-05,0.00622924472702091,0.00625408611925392,0.00627892751148693
"1992",263063.666649161,736.920293369972,261619.329414679,263063.666649161,264508.003883643,0.00620408506041862,1.24791920640009e-05,0.00617962629341702,0.00620408506041862,0.00622854382742022
"1993",265039.531281995,738.463363869323,263592.169684909,265039.531281995,266486.892879081,0.00617951925199695,1.23437398022868e-05,0.00615532596654994,0.00617951925199695,0.00620371253744397
"1994",267778.64583429,741.733070555434,266324.875729859,267778.64583429,269232.415938721,0.00617237275581126,1.22489912593276e-05,0.00614836517409603,0.00617237275581126,0.00619638033752649
"1995",271037.980044308,746.19395437162,269575.466768259,271037.980044308,272500.493320358,0.00617376114747141,1.21766000511492e-05,0.00614989544991701,0.00617376114747141,0.00619762684502581
"1996",275084.176116864,750.374355163961,273613.46940582,275084.176116864,276554.882827908,0.00618831368418038,1.20721879193371e-05,0.00616465263064388,0.00618831368418038,0.00621197473771688
"1997",280742.271907809,757.27148447342,279258.047071722,280742.271907809,282226.496743896,0.00623494528871588,1.20157096316811e-05,0.00621139493058909,0.00623494528871588,0.00625849564684266
"1998",287795.164287067,766.405052925376,286293.037985764,287795.164287067,289297.290588371,0.00630974493309031,1.20001268332942e-05,0.00628622511668714,0.00630974493309031,0.00633326474949348
"1999",295944.066968935,777.220220496433,294420.743328706,295944.066968935,297467.390609165,0.0064083407969376,1.2019903568744e-05,0.00638478221884522,0.0064083407969376,0.00643189937502999
"2000",304821.395028172,789.314441033479,303274.367151269,304821.395028172,306368.422905075,0.00652447271872716,1.20738911798041e-05,0.00650080832686148,0.00652447271872716,0.00654813711059283
"2001",318347.158190591,805.214968967609,316768.965851602,318347.158190591,319925.35052958,0.006741055712122,1.21646521038883e-05,0.00671721343211392,0.006741055712122,0.00676489799213008
"2002",338522.768815708,829.495600898265,336896.987312613,338522.768815708,340148.550318803,0.00709659159094542,1.23939711994627e-05,0.00707229985376905,0.00709659159094542,0.0071208833281218
"2003",360855.373821631,856.137124891329,359177.375891017,360855.373821631,362533.371752246,0.00749457041302373,1.26692933052792e-05,0.00746973905443581,0.00749457041302373,0.00751940177161165
"2004",380436.994789411,879.169538157446,378713.854158318,380436.994789411,382160.135420504,0.00783364558390414,1.29003697732588e-05,0.0078083613237613,0.00783364558390414,0.00785892984404698
"2005",392021.984597275,892.913048139935,390271.907181595,392021.984597275,393772.062012956,0.00800863201619785,1.30053208066505e-05,0.00798314205580942,0.00800863201619785,0.00803412197658627
